study,arm,metric,n_reps,total_ms,sd
loo,full_stack_ovl,it0,5,59.29,0.74
loo,full_stack_ovl,rest_mean,5,54.45,0.5
loo,full_stack_ovl_pv3c_14,it0,5,59.11,1.07
loo,full_stack_ovl_pv3c_14,rest_mean,5,54.47,0.22
loo,full_stack_seq,it0,5,68.03,1.02
loo,full_stack_seq,rest_mean,5,55.12,0.22
loo,full_stack_seq_pv3c_14,it0,5,67.73,1.32
loo,full_stack_seq_pv3c_14,rest_mean,5,55.1,0.24
loo,placement_swap_seq,it0,5,71.16,4.33
loo,placement_swap_seq,rest_mean,5,55.9,0.77
loo,placement_swap_seq_pv3c_14,it0,5,67.79,0.96
loo,placement_swap_seq_pv3c_14,rest_mean,5,55.06,0.56
matched,full_stack_ovl,it0,5,50.19,1.46
matched,full_stack_ovl,rest_mean,5,47.68,0.26
matched,full_stack_ovl_pv3c_14,it0,5,50.22,0.72
matched,full_stack_ovl_pv3c_14,rest_mean,5,47.05,0.26
matched,full_stack_seq,it0,5,52.43,1.69
matched,full_stack_seq,rest_mean,5,47.73,0.37
matched,full_stack_seq_pv3c_14,it0,5,53.06,0.64
matched,full_stack_seq_pv3c_14,rest_mean,5,47.23,0.5
matched,placement_swap_seq,it0,5,53.84,2.39
matched,placement_swap_seq,rest_mean,5,48.05,0.66
matched,placement_swap_seq_pv3c_14,it0,5,53.97,2.22
matched,placement_swap_seq_pv3c_14,rest_mean,5,47.69,0.28
