study,arm,rep,capsule,iter,total_ms
loo,comet,1,a03516f9,0,63.761
loo,comet,1,a03516f9,1,64.552
loo,comet,1,a03516f9,2,64.313
loo,comet,1,a03516f9,3,64.877
loo,comet,1,a03516f9,4,62.009
loo,comet,1,a03516f9,5,65.196
loo,comet,1,a03516f9,6,62.583
loo,comet,1,a03516f9,7,62.856
loo,comet,1,a03516f9,8,70.817
loo,comet,1,a03516f9,9,63.419
loo,slipstream_comm_only,1,a03516f9,0,60.782
loo,slipstream_comm_only,1,a03516f9,1,59.395
loo,slipstream_comm_only,1,a03516f9,2,58.734
loo,slipstream_comm_only,1,a03516f9,3,60.175
loo,slipstream_comm_only,1,a03516f9,4,61.226
loo,slipstream_comm_only,1,a03516f9,5,61.11
loo,slipstream_comm_only,1,a03516f9,6,61.783
loo,slipstream_comm_only,1,a03516f9,7,58.878
loo,slipstream_comm_only,1,a03516f9,8,62.616
loo,slipstream_comm_only,1,a03516f9,9,55.58
loo,placement_swap_seq,1,a03516f9,0,67.237
loo,placement_swap_seq,1,a03516f9,1,64.741
loo,placement_swap_seq,1,a03516f9,2,54.841
loo,placement_swap_seq,1,a03516f9,3,55.566
loo,placement_swap_seq,1,a03516f9,4,58.129
loo,placement_swap_seq,1,a03516f9,5,53.798
loo,placement_swap_seq,1,a03516f9,6,57.885
loo,placement_swap_seq,1,a03516f9,7,54.43
loo,placement_swap_seq,1,a03516f9,8,56.986
loo,placement_swap_seq,1,a03516f9,9,55.047
loo,full_stack_seq,1,a03516f9,0,70.208
loo,full_stack_seq,1,a03516f9,1,65.133
loo,full_stack_seq,1,a03516f9,2,56.46
loo,full_stack_seq,1,a03516f9,3,54.507
loo,full_stack_seq,1,a03516f9,4,56.959
loo,full_stack_seq,1,a03516f9,5,55.781
loo,full_stack_seq,1,a03516f9,6,56.616
loo,full_stack_seq,1,a03516f9,7,55.663
loo,full_stack_seq,1,a03516f9,8,59.502
loo,full_stack_seq,1,a03516f9,9,55.812
loo,full_stack_ovl,1,a03516f9,0,60.998
loo,full_stack_ovl,1,a03516f9,1,59.365
loo,full_stack_ovl,1,a03516f9,2,55.477
loo,full_stack_ovl,1,a03516f9,3,57.219
loo,full_stack_ovl,1,a03516f9,4,55.406
loo,full_stack_ovl,1,a03516f9,5,59.679
loo,full_stack_ovl,1,a03516f9,6,55.023
loo,full_stack_ovl,1,a03516f9,7,57.563
loo,full_stack_ovl,1,a03516f9,8,56.676
loo,full_stack_ovl,1,a03516f9,9,53.937
loo,comet,2,4695b36d,0,67.152
loo,comet,2,4695b36d,1,63.866
loo,comet,2,4695b36d,2,63.8
loo,comet,2,4695b36d,3,63.892
loo,comet,2,4695b36d,4,64.389
loo,comet,2,4695b36d,5,67.593
loo,comet,2,4695b36d,6,64.749
loo,comet,2,4695b36d,7,66.223
loo,comet,2,4695b36d,8,65.905
loo,comet,2,4695b36d,9,62.78
loo,slipstream_comm_only,2,4695b36d,0,58.823
loo,slipstream_comm_only,2,4695b36d,1,56.592
