user_label,dataset,value_ms,stat,arm_variant,capsules,pool,oracle_basis,ths_op_sha8,run_date,notes
MoonEP,ablation_matched_it0,129.19,it0 single run,moonep_l01_nvshmem_getmem,a25828a5 (cell trace-0712af),mmlu/professional_law,opool mix8 (hetero campaign; arm is oracle-insensitive),505e4bed (libflux_cuda 5603324f != 9/1 3d251dba),2026-08-31,median of same cell = 125.48; same capsule on livecodebench (trace-245f17) = 117.93 median
COMET,ablation_matched_it0,64.38,it0 mean of 5 reps,l01_allgather_dense,52a6d193/00036d63/0ab47b02/7832276b/65017077,mmlu/professional_law,prev window [32:64) same pool,505e4bed,2026-09-01,pool-insensitive arm (dense allgather); 5-rep median 63.5-65.7
1Ours(Token Comm),ablation_matched_it0,58.65,it0 mean of 5 reps,l01_slipstream,52a6d193/00036d63/0ab47b02/7832276b/65017077,mmlu/professional_law,prev window,505e4bed,2026-09-01,pool effect measured in-capsule 4fb2dc4a (8/31): lcb 54.92 vs prolaw 58.60 median
2Ours(placement/swap seq),ablation_matched_it0,52.90,it0 mean of 5 reps,ablation_l01_pr_swapall_pw_noov_p2p_r2,52a6d193/00036d63/0ab47b02/7832276b/65017077,mmlu/professional_law,prev window,505e4bed,2026-09-01,OURS driver + legacy comm env (msplit/fp/wp/bucket/lb_union/fused_stage2/early_launch ON; wave_adapt/combine_idx/plan_graph OFF; plan_overlap 0) + pv2 placement + r2 + postwarmup sequential swapall; it1-9 mean 47.32
1+2 + dispatch (swap seq no overlap),ablation_matched_it0,53.01,it0 mean of 5 reps,ablation_l01_s2_swapall_pw_noov_p2p_r2,52a6d193/00036d63/0ab47b02/7832276b/65017077,mmlu/professional_law,prev window,505e4bed,2026-09-01,full comm canon + postwarmup sequential swapall; it1-9 mean 47.26
1+2 + dispatch (swap overlap),ablation_matched_it0,50.78,it0 mean of 5 reps,ablation_l01_s2_swapall_pw_p2p_r2,52a6d193/00036d63/0ab47b02/7832276b/65017077,mmlu/professional_law,prev window,505e4bed,2026-09-01,full comm canon + postwarmup overlapped swapall; it1-9 mean 47.41
NVSHMEM a2av + GEMM,main_perf_k2_4n_b64,139.73,iter_max_mean (10 iters),l01_nvshmem,5b301226,livecodebench/execution,prev window,1b5593d4,2026-08-31,median = 137.61
FAST + GEMM,main_perf_k2_4n_b64,119.89,iter_max_median mode e2e,l01_fast,ff3902f4 (fast-split branch only),livecodebench/execution,n/a,fast-split 7b68b13,2026-08-29,separate harness; not on main
Comet,main_perf_k2_4n_b64,63.72,iter_max_median,l01_allgather_dense,2397fca5,livecodebench/execution,prev window,ee784118,2026-08-24,same arm on lcb across builds: 57.68 (8/23) 63.72 (8/24) 59.33 (8/30) 60.65 (8/31)
MoonEP,main_perf_k2_4n_b64,117.94,iter_max_median,moonep_l01_nvshmem_getmem,3681d4a5,livecodebench/execution,prev window,ee784118,2026-08-24,
EPLB,main_perf_k2_4n_b64,131.30,iter_max_median,eplb_l01,0de1bd1d,livecodebench/execution,prev window (pool oracle),ee784118,2026-08-24,
EPIC,main_perf_k2_4n_b64,66.54,iter_max_median,epic_l01_hc_m1,3e868187,livecodebench/execution,prev window,ee784118,2026-08-24,
1Ours(Token Comm),main_perf_k2_4n_b64,54.64,iter_max_median,l01_slipstream,498a36d2,livecodebench/execution,prev window,3a5dc836,2026-08-29,same arm on lcb: 51.43 (8/23) 55.30 (8/24) 56.42 (8/30) 54.92 (8/31)
2Ours(placement + hier a2av no overlap),main_perf_k2_4n_b64,59.88,iter_max_median,llc_l01_s1_pv2,a5a36a31,livecodebench/execution,SELF-oracle (pre-98eb2c8 bug),6720acfa,2026-08-27,EPIC driver hier_compress transport + loccap_sl router; no overlap machinery; 8/30 rerun 59.45
1+2,main_perf_k2_4n_b64,46.67,iter_max_median,ours_l01_s1_pv2_r2,007a3f3b,livecodebench/execution,prev window,3a5dc836,2026-08-29,stable 46.3-47.5 across 10 lcb capsules 8/27-9/1
1+2 + expert dispatch (re-solve every iter no expert movement),main_perf_k2_4n_b64,46.65,iter_max_median,ours_l01_s2_swap_force_p2p_r2,204f1378,livecodebench/execution,prev window,744612b0,2026-08-29,ARM DOES MOVE EXPERTS: --s2_swap 1 --swap_tau_rows -1 --swap_issue early = forced overlapped intra-node P2P swap every iteration; no reset so warmup converges the placement
