study,arm,rep,capsule,iter,total_ms
loo,full_stack_seq_pv3c_14,2,884970bb,5,52.977
loo,full_stack_seq_pv3c_14,2,884970bb,6,53.266
loo,full_stack_seq_pv3c_14,2,884970bb,7,56.03
loo,full_stack_seq_pv3c_14,2,884970bb,8,55.171
loo,full_stack_seq_pv3c_14,2,884970bb,9,53.144
loo,full_stack_ovl,2,884970bb,0,59.577
loo,full_stack_ovl,2,884970bb,1,56.088
loo,full_stack_ovl,2,884970bb,2,54.682
loo,full_stack_ovl,2,884970bb,3,52.952
loo,full_stack_ovl,2,884970bb,4,54.369
loo,full_stack_ovl,2,884970bb,5,54.391
loo,full_stack_ovl,2,884970bb,6,53.939
loo,full_stack_ovl,2,884970bb,7,52.228
loo,full_stack_ovl,2,884970bb,8,53.672
loo,full_stack_ovl,2,884970bb,9,52.489
loo,full_stack_ovl_pv3c_14,2,884970bb,0,58.158
loo,full_stack_ovl_pv3c_14,2,884970bb,1,57.223
loo,full_stack_ovl_pv3c_14,2,884970bb,2,54.82
loo,full_stack_ovl_pv3c_14,2,884970bb,3,52.95
loo,full_stack_ovl_pv3c_14,2,884970bb,4,56.015
loo,full_stack_ovl_pv3c_14,2,884970bb,5,52.721
loo,full_stack_ovl_pv3c_14,2,884970bb,6,54.148
loo,full_stack_ovl_pv3c_14,2,884970bb,7,52.191
loo,full_stack_ovl_pv3c_14,2,884970bb,8,57.361
loo,full_stack_ovl_pv3c_14,2,884970bb,9,51.998
loo,placement_swap_seq,3,ecc08f50,0,78.458
loo,placement_swap_seq,3,ecc08f50,1,67.553
loo,placement_swap_seq,3,ecc08f50,2,56.671
loo,placement_swap_seq,3,ecc08f50,3,55.11
loo,placement_swap_seq,3,ecc08f50,4,57.31
loo,placement_swap_seq,3,ecc08f50,5,55.615
loo,placement_swap_seq,3,ecc08f50,6,55.901
loo,placement_swap_seq,3,ecc08f50,7,53.7
loo,placement_swap_seq,3,ecc08f50,8,57.955
loo,placement_swap_seq,3,ecc08f50,9,55.117
loo,placement_swap_seq_pv3c_14,3,ecc08f50,0,69.313
loo,placement_swap_seq_pv3c_14,3,ecc08f50,1,59.423
loo,placement_swap_seq_pv3c_14,3,ecc08f50,2,53.213
loo,placement_swap_seq_pv3c_14,3,ecc08f50,3,53.843
loo,placement_swap_seq_pv3c_14,3,ecc08f50,4,56.879
loo,placement_swap_seq_pv3c_14,3,ecc08f50,5,53.5
loo,placement_swap_seq_pv3c_14,3,ecc08f50,6,54.092
loo,placement_swap_seq_pv3c_14,3,ecc08f50,7,52.775
loo,placement_swap_seq_pv3c_14,3,ecc08f50,8,53.546
loo,placement_swap_seq_pv3c_14,3,ecc08f50,9,52.722
loo,full_stack_seq,3,ecc08f50,0,68.682
loo,full_stack_seq,3,ecc08f50,1,60.845
loo,full_stack_seq,3,ecc08f50,2,54.244
loo,full_stack_seq,3,ecc08f50,3,52.171
loo,full_stack_seq,3,ecc08f50,4,55.209
loo,full_stack_seq,3,ecc08f50,5,52.687
loo,full_stack_seq,3,ecc08f50,6,56.822
loo,full_stack_seq,3,ecc08f50,7,53.108
loo,full_stack_seq,3,ecc08f50,8,54.698
loo,full_stack_seq,3,ecc08f50,9,56.921
loo,full_stack_seq_pv3c_14,3,ecc08f50,0,69.381
loo,full_stack_seq_pv3c_14,3,ecc08f50,1,61.373
loo,full_stack_seq_pv3c_14,3,ecc08f50,2,54.541
loo,full_stack_seq_pv3c_14,3,ecc08f50,3,54.156
loo,full_stack_seq_pv3c_14,3,ecc08f50,4,53.407
loo,full_stack_seq_pv3c_14,3,ecc08f50,5,52.73
loo,full_stack_seq_pv3c_14,3,ecc08f50,6,55.727
loo,full_stack_seq_pv3c_14,3,ecc08f50,7,53.492
loo,full_stack_seq_pv3c_14,3,ecc08f50,8,56.65
loo,full_stack_seq_pv3c_14,3,ecc08f50,9,55.821
loo,full_stack_ovl,3,ecc08f50,0,59.019
loo,full_stack_ovl,3,ecc08f50,1,56.544
loo,full_stack_ovl,3,ecc08f50,2,57.588
loo,full_stack_ovl,3,ecc08f50,3,55.85
loo,full_stack_ovl,3,ecc08f50,4,55.162
