run_id,cell_id,variant,budget,status,deterministic,total_ms,plan_comm_ms,plan_ms,place_ms,l0_ms,l1_ms,e2e_ms
20260915-063938,llc_l01_s1_pv2_trace-a2e8ab_b1_k8_isolated,llc_l01_s1_pv2,1,ok,0,5.205744,0.263632,0.863888,0.009856,3.0758080000000003,1.021776,4.089904000000001
20260915-063938,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,llc_l01_s1_pv2_pv3c_eps025,1,ok,0,5.148384,0.259744,0.8265119999999999,0.010848,3.0863199999999997,1.046112,4.084208
20260915-063938,llc_l01_s1_pv2_trace-a2e8ab_b4_k8_isolated,llc_l01_s1_pv2,4,ok,0,7.559952,0.29432,1.0469279999999999,0.008591999999999999,4.138816,2.2058400000000002,6.243359999999999
20260915-063938,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,llc_l01_s1_pv2_pv3c_eps025,4,ok,0,7.3552800000000005,0.268,1.005376,0.011456000000000001,3.989424,2.156704,6.103744000000001
20260915-063938,llc_l01_s1_pv2_trace-a2e8ab_b16_k8_isolated,llc_l01_s1_pv2,16,ok,0,17.0628795,0.269552,1.2840159999999998,0.011184,8.311983999999999,7.6861440000000005,15.523792
20260915-063938,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,llc_l01_s1_pv2_pv3c_eps025,16,failed,0,,,,,,,
