baseline,variant,model,nodes,budget_mib,status,capsule,cell_id,e2e_ms,l0_ms,act_ms,l1_ms,plan_ms,plan_comm_ms,total_ms,e2e_min,e2e_max,fail_reason
COMET,l01_allgather_dense,K2,4,1,ok,20260830-125320_perlmutter_f1b40b3f,l01_allgather_dense_trace-610042_b1_k8_isolated,3.561,1.735,0.009,1.819,0.255,0.202,4.02,3.547,3.595,
COMET,l01_allgather_dense,K2,4,2,ok,20260830-125320_perlmutter_f1b40b3f,l01_allgather_dense_trace-610042_b2_k8_isolated,4.343,2.087,0.011,2.245,0.258,0.157,4.772,4.303,4.429,
COMET,l01_allgather_dense,K2,4,4,ok,20260830-125320_perlmutter_f1b40b3f,l01_allgather_dense_trace-610042_b4_k8_isolated,5.734,2.663,0.019,3.039,0.27,0.174,6.162,5.555,5.926,
COMET,l01_allgather_dense,K2,4,8,ok,20260830-125320_perlmutter_f1b40b3f,l01_allgather_dense_trace-610042_b8_k8_isolated,8.793,4.177,0.029,4.562,0.294,0.483,9.552,8.63,9.607,
COMET,l01_allgather_dense,K2,4,16,ok,20260830-125320_perlmutter_f1b40b3f,l01_allgather_dense_trace-610042_b16_k8_isolated,15.85,7.583,0.051,8.242,0.342,0.225,16.491,15.317,16.635,
COMET,l01_allgather_dense,K2,4,32,ok,20260830-125320_perlmutter_f1b40b3f,l01_allgather_dense_trace-610042_b32_k8_isolated,29.545,14.354,0.11,15.132,0.414,0.3,30.403,28.549,32.598,
COMET,l01_allgather_dense,K2,4,64,ok,20260830-125320_perlmutter_f1b40b3f,l01_allgather_dense_trace-610042_b64_k8_isolated,58.298,28.65,0.232,29.031,0.634,0.453,59.331,56.358,59.718,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,K2,4,1,ok,20260830-131102_perlmutter_7c6ee78e,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,4.741,2.595,0.009,2.139,1.316,0.154,6.171,4.696,4.798,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,K2,4,2,ok,20260830-131102_perlmutter_7c6ee78e,ours_l01_s1_pv2_r2_dwire_trace-610042_b2_k8_isolated,6.574,3.483,0.012,3.073,1.314,0.154,8.024,6.454,6.936,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,K2,4,4,ok,20260830-131102_perlmutter_7c6ee78e,ours_l01_s1_pv2_r2_dwire_trace-610042_b4_k8_isolated,10.773,5.223,0.019,5.568,1.33,0.159,12.195,10.463,11.193,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,K2,4,8,ok,20260830-131102_perlmutter_7c6ee78e,ours_l01_s1_pv2_r2_dwire_trace-610042_b8_k8_isolated,18.58,9.101,0.031,9.488,1.384,0.392,20.1,18.204,19.662,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,K2,4,16,ok,20260830-131102_perlmutter_7c6ee78e,ours_l01_s1_pv2_r2_dwire_trace-610042_b16_k8_isolated,34.128,16.885,0.061,17.18,1.266,0.422,35.867,33.26,35.207,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,K2,4,32,ok,20260830-131102_perlmutter_7c6ee78e,ours_l01_s1_pv2_r2_dwire_trace-610042_b32_k8_isolated,65.092,32.161,0.122,33.366,1.719,0.268,67.148,64.082,66.624,
OURS-dwire,ours_l01_s1_pv2_r2_dwire,K2,4,64,ok,20260830-131102_perlmutter_7c6ee78e,ours_l01_s1_pv2_r2_dwire_trace-610042_b64_k8_isolated,129.202,63.923,0.237,66.012,2.497,0.26,132.086,125.04,133.267,
OURS-s1,ours_l01_s1_pv2_r2,K2,4,1,ok,20260830-130128_perlmutter_ae736b36,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated,3.222,1.635,0.012,1.564,0.642,0.142,4.009,3.187,3.238,
OURS-s1,ours_l01_s1_pv2_r2,K2,4,2,ok,20260830-130128_perlmutter_ae736b36,ours_l01_s1_pv2_r2_trace-610042_b2_k8_isolated,3.835,1.884,0.015,1.895,0.668,0.15,4.654,3.736,3.961,
OURS-s1,ours_l01_s1_pv2_r2,K2,4,4,ok,20260830-130128_perlmutter_ae736b36,ours_l01_s1_pv2_r2_trace-610042_b4_k8_isolated,5.148,2.359,0.02,2.728,0.673,0.16,5.974,4.998,5.419,
OURS-s1,ours_l01_s1_pv2_r2,K2,4,8,ok,20260830-130128_perlmutter_ae736b36,ours_l01_s1_pv2_r2_trace-610042_b8_k8_isolated,8.124,3.587,0.033,4.508,0.706,0.173,8.993,7.971,8.424,
OURS-s1,ours_l01_s1_pv2_r2,K2,4,16,ok,20260830-130128_perlmutter_ae736b36,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated,13.22,6.275,0.061,6.955,0.824,0.158,14.262,12.928,14.139,
OURS-s1,ours_l01_s1_pv2_r2,K2,4,32,ok,20260830-130128_perlmutter_ae736b36,ours_l01_s1_pv2_r2_trace-610042_b32_k8_isolated,23.639,10.68,0.118,12.729,1.459,0.471,25.416,22.785,24.549,
OURS-s1,ours_l01_s1_pv2_r2,K2,4,64,ok,20260830-130128_perlmutter_ae736b36,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated,44.204,19.56,0.23,24.316,1.939,0.26,46.247,41.568,46.88,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,K2,4,1,ok,20260830-130601_perlmutter_ebd79995,ours_l01_s2_swap_force_p2p_r2_trace-610042_b1_k8_isolated,3.296,1.642,0.013,1.642,0.898,0.161,5.0,3.214,3.768,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,K2,4,2,ok,20260830-130601_perlmutter_ebd79995,ours_l01_s2_swap_force_p2p_r2_trace-610042_b2_k8_isolated,3.799,1.896,0.014,1.893,0.926,0.16,5.545,3.765,3.872,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,K2,4,4,ok,20260830-130601_perlmutter_ebd79995,ours_l01_s2_swap_force_p2p_r2_trace-610042_b4_k8_isolated,5.148,2.421,0.021,2.722,1.016,0.513,7.238,5.067,5.335,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,K2,4,8,ok,20260830-130601_perlmutter_ebd79995,ours_l01_s2_swap_force_p2p_r2_trace-610042_b8_k8_isolated,8.151,3.518,0.032,4.583,1.005,0.167,10.079,8.043,8.474,
OURS-s2,ours_l01_s2_swap_force_p2p_r2,K2,4,16,ok,20260830-130601_perlmutter_ebd79995,ours_l01_s2_swap_force_p2p_r2_trace-610042_b16_k8_isolated,13.316,6.324,0.062,7.005,1.215,0.545,15.714,12.525,13.753,
