layer,scale,run,timing_mode,algorithm,budget_mib,latency_ms,capsule
layer0,W16,revA,,hier_compress_lb_union_eager,16,9.672,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_eager,16,10.953,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_eager,32,20.453,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union_eager,32,20.505,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union_eager,32,20.461,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,hier_compress_lb_union_eager,64,52.324,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union_eager,64,45.857,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union_eager,64,45.555,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,hier_compress_lb_union_eager_early,1,1.544,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_eager_early,1,1.554,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_eager_early,1,1.544,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_eager_early,2,2.005,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_eager_early,2,2.142,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_eager_early,2,2.047,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_eager_early,4,3.05,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_eager_early,4,2.926,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_eager_early,4,2.973,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_eager_early,8,4.897,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_eager_early,8,4.872,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_eager_early,8,4.855,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_eager_early,16,9.203,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_eager_early,16,9.186,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_eager_early,16,9.162,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_eager_early,32,19.308,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union_eager_early,32,19.277,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union_eager_early,32,19.281,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,hier_compress_lb_union_eager_early,64,44.869,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union_eager_early,64,44.635,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union_eager_early,64,44.172,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,hier_compress_lb_union_early,1,1.571,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_early,1,1.617,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_early,1,1.743,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_early,2,2.007,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_early,2,2.199,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_early,2,2.003,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_early,4,2.949,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_early,4,2.936,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_early,4,2.952,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_early,8,4.874,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_early,8,4.89,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_early,8,4.887,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_early,16,9.175,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_early,16,9.222,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_early,16,9.137,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_early,32,19.942,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union_early,32,19.949,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union_early,32,19.828,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,hier_compress_lb_union_early,64,45.662,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union_early,64,45.556,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union_early,64,45.583,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,hier_compress_lb_union_fused,1,1.247,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused,1,1.494,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused,1,1.241,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused,2,1.723,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused,2,1.718,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused,2,1.688,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused,4,2.504,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused,4,2.488,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused,4,2.502,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused,8,4.474,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused,8,4.455,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused,8,4.443,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused,16,8.889,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused,16,8.852,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused,16,8.81,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused,32,19.258,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union_fused,32,19.283,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union_fused,32,19.401,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,hier_compress_lb_union_fused,64,44.352,20260816-133612_perlmutter_01f7e410
layer0,W16,revA,,hier_compress_lb_union_fused,64,44.848,20260816-162940_perlmutter_ed9625bc
layer0,W16,revB,,hier_compress_lb_union_fused,64,44.707,20260816-163134_perlmutter_c914e099
layer0,W16,fwd,,hier_compress_lb_union_fused_eager,1,1.357,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused_eager,1,1.344,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_eager,1,1.368,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_eager,2,1.868,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused_eager,2,1.986,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_eager,2,1.878,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_eager,4,2.771,20260816-132227_perlmutter_7ff7098d
layer0,W16,revA,,hier_compress_lb_union_fused_eager,4,2.775,20260816-161551_perlmutter_1451c017
layer0,W16,revB,,hier_compress_lb_union_fused_eager,4,2.769,20260816-161758_perlmutter_78f371c6
layer0,W16,fwd,,hier_compress_lb_union_fused_eager,8,4.868,20260816-132227_perlmutter_7ff7098d
