baseline,variant,model,nodes,budget_mib,status,capsule,cell_id,e2e_ms,l0_ms,act_ms,l1_ms,plan_ms,plan_comm_ms,total_ms,e2e_min,e2e_max,fail_reason
COMET,l01_allgather_dense,K2,4,1,ok,20260824-153542_perlmutter_2397fca5,l01_allgather_dense_trace-610042_b1_k8_isolated,3.573,1.738,0.009,1.814,0.258,0.173,4.037,3.538,3.763,
COMET,l01_allgather_dense,K2,4,2,ok,20260824-153542_perlmutter_2397fca5,l01_allgather_dense_trace-610042_b2_k8_isolated,4.323,2.055,0.012,2.237,0.257,0.143,4.722,4.269,4.401,
COMET,l01_allgather_dense,K2,4,4,ok,20260824-153542_perlmutter_2397fca5,l01_allgather_dense_trace-610042_b4_k8_isolated,5.78,2.758,0.014,3.078,0.271,0.193,6.257,5.704,5.952,
COMET,l01_allgather_dense,K2,4,8,ok,20260824-153542_perlmutter_2397fca5,l01_allgather_dense_trace-610042_b8_k8_isolated,8.532,4.218,0.031,4.35,0.293,0.205,9.049,8.351,8.91,
COMET,l01_allgather_dense,K2,4,16,ok,20260824-153542_perlmutter_2397fca5,l01_allgather_dense_trace-610042_b16_k8_isolated,15.505,7.597,0.049,7.807,0.343,0.395,16.286,14.905,17.241,
COMET,l01_allgather_dense,K2,4,32,ok,20260824-153542_perlmutter_2397fca5,l01_allgather_dense_trace-610042_b32_k8_isolated,30.654,15.144,0.097,15.227,0.41,0.331,31.509,29.579,31.77,
COMET,l01_allgather_dense,K2,4,64,ok,20260824-153542_perlmutter_2397fca5,l01_allgather_dense_trace-610042_b64_k8_isolated,62.254,30.193,0.22,31.709,0.642,0.827,63.722,57.689,69.553,
EPIC,epic_l01_hc_m1,K2,4,1,ok,20260824-154543_perlmutter_3e868187,epic_l01_hc_m1_trace-610042_b1_k8_isolated,5.423,3.848,0.009,1.552,2.407,0.286,8.042,5.359,5.479,
EPIC,epic_l01_hc_m1,K2,4,2,ok,20260824-154543_perlmutter_3e868187,epic_l01_hc_m1_trace-610042_b2_k8_isolated,5.928,4.103,0.012,1.8,2.428,0.276,8.562,5.782,6.525,
EPIC,epic_l01_hc_m1,K2,4,4,ok,20260824-154543_perlmutter_3e868187,epic_l01_hc_m1_trace-610042_b4_k8_isolated,7.794,4.876,0.018,2.895,2.451,0.275,10.405,7.662,8.168,
EPIC,epic_l01_hc_m1,K2,4,8,ok,20260824-154543_perlmutter_3e868187,epic_l01_hc_m1_trace-610042_b8_k8_isolated,11.132,6.367,0.03,4.637,2.536,0.302,13.848,10.82,11.879,
EPIC,epic_l01_hc_m1,K2,4,16,ok,20260824-154543_perlmutter_3e868187,epic_l01_hc_m1_trace-610042_b16_k8_isolated,18.271,9.533,0.057,8.626,2.544,0.294,20.986,17.837,19.828,
EPIC,epic_l01_hc_m1,K2,4,32,ok,20260824-154543_perlmutter_3e868187,epic_l01_hc_m1_trace-610042_b32_k8_isolated,32.656,16.525,0.12,16.025,2.599,0.287,35.474,31.996,33.375,
EPIC,epic_l01_hc_m1,K2,4,64,ok,20260824-154543_perlmutter_3e868187,epic_l01_hc_m1_trace-610042_b64_k8_isolated,62.711,30.598,0.227,32.154,3.642,0.333,66.537,61.499,65.675,
EPLB,eplb_l01,K2,4,1,ok,20260824-154143_perlmutter_0de1bd1d,eplb_l01_trace-610042_b1_k8_isolated,4.867,2.705,0.013,2.14,3.071,0.232,7.937,4.799,4.945,
EPLB,eplb_l01,K2,4,2,ok,20260824-154143_perlmutter_0de1bd1d,eplb_l01_trace-610042_b2_k8_isolated,6.507,3.455,0.018,3.038,2.964,0.229,9.612,6.447,7.151,
EPLB,eplb_l01,K2,4,4,ok,20260824-154143_perlmutter_0de1bd1d,eplb_l01_trace-610042_b4_k8_isolated,10.926,5.402,0.026,5.507,2.886,0.617,13.916,10.446,11.649,
EPLB,eplb_l01,K2,4,8,ok,20260824-154143_perlmutter_0de1bd1d,eplb_l01_trace-610042_b8_k8_isolated,18.62,9.189,0.05,9.382,3.044,0.231,21.759,17.747,19.063,
EPLB,eplb_l01,K2,4,16,ok,20260824-154143_perlmutter_0de1bd1d,eplb_l01_trace-610042_b16_k8_isolated,34.148,16.385,0.114,17.642,3.072,0.248,37.301,33.009,35.045,
EPLB,eplb_l01,K2,4,32,ok,20260824-154143_perlmutter_0de1bd1d,eplb_l01_trace-610042_b32_k8_isolated,64.669,31.306,0.23,32.846,3.126,0.264,67.953,63.018,66.362,
EPLB,eplb_l01,K2,4,64,ok,20260824-154143_perlmutter_0de1bd1d,eplb_l01_trace-610042_b64_k8_isolated,126.954,61.774,0.446,64.926,4.095,0.515,131.3,124.792,128.827,
