run_id,cell_id,variant,budget,status,deterministic,total_ms,plan_comm_ms,plan_ms,place_ms,l0_ms,l1_ms,e2e_ms
20260915-061546,ours_l01_s1_pv2_r2_dwire_trace-610042_b1_k8_isolated,ours_l01_s1_pv2_r2_dwire,1,ok,0,6.200912000000001,0.17283199999999999,1.324064,0.009856,2.716944,2.163328,4.7868960000000005
20260915-061546,ours_l01_s1_pv2_r2_dwire_pv3c_eps025_trace-610042_b1_k8_isolated,ours_l01_s1_pv2_r2_dwire_pv3c_eps025,1,ok,0,6.084160000000001,0.154128,1.228672,0.002736,2.6699520000000003,2.165728,4.730096
20260915-061546,ours_l01_s2_swap_force_p2p_r2_trace-610042_b1_k8_isolated,ours_l01_s2_swap_force_p2p_r2,1,ok,0,4.999632,0.154592,0.9117759999999999,0.713808,1.66848,1.650576,3.2929760000000003
20260915-061546,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-610042_b1_k8_isolated,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,1,ok,0,4.748032,0.156688,0.677952,0.697104,1.6622880000000002,1.6440480000000002,3.2700959999999997
20260915-061546,ours_l01_s1_pv2_r2_dwire_trace-610042_b4_k8_isolated,ours_l01_s1_pv2_r2_dwire,4,ok,0,12.361376,0.181056,1.326592,0.00272,5.437968,5.491712,10.878015999999999
20260915-061546,ours_l01_s1_pv2_r2_dwire_pv3c_eps025_trace-610042_b4_k8_isolated,ours_l01_s1_pv2_r2_dwire_pv3c_eps025,4,ok,0,12.135024,0.17824,1.234688,0.002656,5.374288,5.452640000000001,10.750496
20260915-061546,ours_l01_s2_swap_force_p2p_r2_trace-610042_b4_k8_isolated,ours_l01_s2_swap_force_p2p_r2,4,ok,0,6.900256000000001,0.19736,0.999936,0.718352,2.3562719999999997,2.78016,5.1163039999999995
20260915-061546,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-610042_b4_k8_isolated,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,4,ok,0,6.787152000000001,0.166384,0.8018719999999999,0.718544,2.44344,2.7826560000000002,5.239088
20260915-061546,ours_l01_s1_pv2_r2_dwire_trace-610042_b16_k8_isolated,ours_l01_s1_pv2_r2_dwire,16,ok,0,36.358881,0.174288,1.3773279999999999,0.002592,17.412432,17.534399999999998,34.6287215
20260915-061546,ours_l01_s1_pv2_r2_dwire_pv3c_eps025_trace-610042_b16_k8_isolated,ours_l01_s1_pv2_r2_dwire_pv3c_eps025,16,ok,0,36.5149135,0.18185600000000002,1.3190879999999998,0.002592,17.534656,17.7824315,35.034769
20260915-061546,ours_l01_s2_swap_force_p2p_r2_trace-610042_b16_k8_isolated,ours_l01_s2_swap_force_p2p_r2,16,ok,0,15.34432,0.176688,1.101776,0.719936,6.0429759999999995,7.086816000000001,13.167472
20260915-061546,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-610042_b16_k8_isolated,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,16,ok,0,15.309664,0.16387200000000002,0.9248160000000001,0.703952,6.219168,6.98776,13.188848
