nodes,model,budget,router,C,remote,incid,rows_max,gpu_ratio_max
8,K2,1,loccap,1/16,14278,8322,776,1.143439584877687
8,K2,1,pv3,1/16,14278,9391,698,1.025889519590198
8,K2,1,pv3c,1/16,14278,9293,703,1.0175827218607227
8,K2,1,pv3,1/8,14278,9388,707,1.048733213346255
8,K2,1,pv3c,1/8,14278,9154,707,1.01998311286237
8,K2,1,pv3,1/4,14278,9370,720,1.084037103696525
8,K2,1,pv3c,1/4,14278,8900,717,1.0250178699070764
8,K2,1,pv3,1/2,14278,9353,722,1.129724491208639
8,K2,1,pv3c,1/2,14278,8579,737,1.0545870248642468
8,K2,1,pv3,1/1,14278,9343,722,1.1774885781531221
8,K2,1,pv3c,1/1,14278,8344,761,1.0879199428162973
8,K2,4,loccap,1/16,58693,33899,3170,1.120141038871689
8,K2,4,pv3,1/16,58693,38228,2964,1.0295372233400404
8,K2,4,pv3c,1/16,58693,37621,2957,1.0140845070422537
8,K2,4,pv3,1/8,58693,38196,2968,1.0527162977867204
8,K2,4,pv3c,1/8,58693,37037,2963,1.0232595573440646
8,K2,4,pv3,1/4,58693,38080,2976,1.1000402414486923
8,K2,4,pv3c,1/4,58693,35919,2993,1.0377464788732396
8,K2,4,pv3,1/2,58693,38026,2993,1.1430181086519116
8,K2,4,pv3c,1/2,58693,34596,3099,1.0515675158800628
8,K2,4,pv3,1/1,58693,37936,3047,1.1932394366197185
8,K2,4,pv3c,1/1,58693,33849,3219,1.0982856362270335
8,K2,16,loccap,1/16,230700,133606,12408,1.1470357503081923
8,K2,16,pv3,1/16,230700,151250,11153,1.0283524233282657
8,K2,16,pv3c,1/16,230700,148961,11112,1.0122340467870703
8,K2,16,pv3,1/8,230700,151043,11164,1.0535448488852452
8,K2,16,pv3c,1/8,230700,146444,11132,1.0215468865664277
8,K2,16,pv3,1/4,230700,150601,11184,1.0928259294930474
8,K2,16,pv3c,1/4,230700,141639,11230,1.027636051037546
8,K2,16,pv3,1/2,230700,150386,11225,1.1397483145351939
8,K2,16,pv3c,1/2,230700,136114,11577,1.0483041047349269
8,K2,16,pv3,1/1,230700,150104,11389,1.1774772551797696
8,K2,16,pv3c,1/1,230700,133566,12012,1.088310965857729
8,Qwen,4,loccap,1/16,95250,48411,5929,1.2418096723868954
8,Qwen,4,pv3,1/16,95250,54934,6457,1.0347176264292581
8,Qwen,4,pv3c,1/16,95250,53242,6412,1.0292397095834562
8,Qwen,4,pv3,1/8,95250,54850,6490,1.0730168743100457
8,Qwen,4,pv3c,1/8,95250,51654,6418,1.063933182940202
8,Qwen,4,pv3,1/4,95250,54123,6628,1.138189389072184
8,Qwen,4,pv3c,1/4,95250,48819,6500,1.1185094655891177
8,Qwen,4,pv3,1/2,95250,53618,7044,1.2570572464910896
8,Qwen,4,pv3c,1/2,95250,45691,6978,1.1741001772835522
8,Qwen,4,pv3,1/1,95250,53556,7656,1.266519476423277
8,Qwen,4,pv3c,1/1,95250,43976,7571,1.2422698091424211
8,Qwen,16,loccap,1/16,379565,193358,23837,1.2334770197963736
8,Qwen,16,pv3,1/16,379565,218826,25841,1.0337965514526417
8,Qwen,16,pv3c,1/16,379565,211941,25707,1.0266264757598593
8,Qwen,16,pv3,1/8,379565,218626,25921,1.0730972117558402
8,Qwen,16,pv3c,1/8,379565,205520,25710,1.063803064556644
8,Qwen,16,pv3,1/4,379565,215632,26544,1.1345957011258958
8,Qwen,16,pv3c,1/4,379565,194524,26151,1.1151971866365236
8,Qwen,16,pv3,1/2,379565,213456,28269,1.2505708211951816
8,Qwen,16,pv3c,1/2,379565,182091,28079,1.1702587289625723
8,Qwen,16,pv3,1/1,379565,213217,30777,1.2513384772852534
8,Qwen,16,pv3c,1/1,379565,175473,30561,1.2431047475508665
16,K2,1,loccap,1/16,31489,20614,876,1.2464028776978417
16,K2,1,pv3,1/16,31489,24422,877,1.0538714706391825
16,K2,1,pv3c,1/16,31489,24110,882,1.033085051099948
16,K2,1,pv3,1/8,31489,24409,864,1.0933656677637278
16,K2,1,pv3c,1/8,31489,23676,887,1.0310064091460247
16,K2,1,pv3,1/4,31489,24336,832,1.1681967781049714
16,K2,1,pv3c,1/4,31489,22866,881,1.0512514898688916
16,K2,1,pv3,1/2,31489,24274,815,1.3199376407413823
16,K2,1,pv3c,1/2,31489,21774,880,1.1245452970725793
16,K2,1,pv3,1/1,31489,24230,816,1.456436931079324
16,K2,1,pv3c,1/1,31489,20738,862,1.228477394768751
16,K2,4,loccap,1/16,129757,84430,3582,1.245742092457421
16,K2,4,pv3,1/16,129757,100870,3476,1.0402747960498069
16,K2,4,pv3c,1/16,129757,98817,3523,1.0145136387030365
16,K2,4,pv3,1/8,129757,100806,3442,1.0794332331472736
16,K2,4,pv3c,1/8,129757,96887,3530,1.020277920741122
16,K2,4,pv3,1/4,129757,100622,3453,1.157750107342207
16,K2,4,pv3c,1/4,129757,93305,3555,1.043419559347239
16,K2,4,pv3,1/2,129757,100229,3395,1.3148990983254616
16,K2,4,pv3c,1/2,129757,88159,3767,1.1134392443108632
16,K2,4,pv3,1/1,129757,100084,3414,1.4749356664951105
16,K2,4,pv3c,1/1,129757,84744,3960,1.2541004723057108
16,K2,16,loccap,1/16,512118,332935,14078,1.24945295404814
16,K2,16,pv3,1/16,512118,397823,14097,1.0426616523374237
16,K2,16,pv3c,1/16,512118,389368,14264,1.0100114492637857
16,K2,16,pv3,1/8,512118,397409,13964,1.0816603806397618
16,K2,16,pv3c,1/8,512118,380852,14291,1.015416566818436
16,K2,16,pv3,1/4,512118,396643,13700,1.1595274067149983
16,K2,16,pv3c,1/4,512118,366249,14402,1.044640437257205
