baseline,variant,model,nodes,budget_mib,status,capsule,cell_id,e2e_ms,l0_ms,act_ms,l1_ms,plan_ms,plan_comm_ms,total_ms,e2e_min,e2e_max,fail_reason
,,Qwen,4,8,ok,20260826-201555_perlmutter_ae55d0d4,ours_l01_s1_r2_trace-a2e8ab_b8_k8_isolated,6.058,2.658,0.033,3.425,1.336,0.182,7.595,5.933,6.541,
,,Qwen,4,16,ok,20260826-201555_perlmutter_ae55d0d4,ours_l01_s1_r2_trace-a2e8ab_b16_k8_isolated,10.953,4.728,0.095,6.092,1.524,0.209,12.609,10.617,11.743,
,,Qwen,4,32,ok,20260826-201555_perlmutter_ae55d0d4,ours_l01_s1_r2_trace-a2e8ab_b32_k8_isolated,20.812,9.309,0.183,11.582,1.941,0.249,22.912,20.406,21.33,
,,Qwen,4,64,ok,20260826-201555_perlmutter_ae55d0d4,ours_l01_s1_r2_trace-a2e8ab_b64_k8_isolated,39.477,16.953,0.224,22.349,2.743,0.204,42.491,38.81,40.722,
,,K2,8,1,ok,20260826-202657_perlmutter_dc75c754,ours_l01_s1_r2_trace-610042_b1_k8_isolated,5.966,2.615,0.01,3.338,1.352,0.292,7.529,5.801,8.161,
,,K2,8,2,ok,20260826-202657_perlmutter_dc75c754,ours_l01_s1_r2_trace-610042_b2_k8_isolated,6.603,2.972,0.016,3.631,1.408,0.241,8.198,6.463,6.956,
,,K2,8,4,ok,20260826-202657_perlmutter_dc75c754,ours_l01_s1_r2_trace-610042_b4_k8_isolated,7.993,3.69,0.023,4.217,1.46,0.27,9.624,7.65,10.261,
,,K2,8,8,ok,20260826-202657_perlmutter_dc75c754,ours_l01_s1_r2_trace-610042_b8_k8_isolated,10.93,5.213,0.036,5.766,1.532,0.242,12.713,10.71,11.235,
,,K2,8,16,ok,20260826-202657_perlmutter_dc75c754,ours_l01_s1_r2_trace-610042_b16_k8_isolated,18.433,8.696,0.046,9.501,1.769,0.295,20.436,17.609,19.405,
,,K2,8,32,ok,20260826-202657_perlmutter_dc75c754,ours_l01_s1_r2_trace-610042_b32_k8_isolated,33.975,15.181,0.118,18.718,2.208,0.32,36.585,31.884,36.488,
,,K2,8,64,ok,20260826-202657_perlmutter_dc75c754,ours_l01_s1_r2_trace-610042_b64_k8_isolated,65.092,29.247,0.245,36.06,2.864,0.423,68.312,62.38,68.751,
,,Qwen,8,1,ok,20260826-203200_perlmutter_e2e1b008,ours_l01_s1_r2_trace-a2e8ab_b1_k8_isolated,4.319,2.445,0.011,1.889,1.33,0.233,5.871,4.294,4.438,
,,Qwen,8,2,ok,20260826-203200_perlmutter_e2e1b008,ours_l01_s1_r2_trace-a2e8ab_b2_k8_isolated,4.807,2.564,0.02,2.21,1.369,0.228,6.361,4.664,4.881,
,,Qwen,8,4,ok,20260826-203200_perlmutter_e2e1b008,ours_l01_s1_r2_trace-a2e8ab_b4_k8_isolated,5.924,3.118,0.028,2.793,1.609,0.305,7.649,5.851,6.251,
,,Qwen,8,8,ok,20260826-203200_perlmutter_e2e1b008,ours_l01_s1_r2_trace-a2e8ab_b8_k8_isolated,9.012,4.248,0.042,4.687,1.692,0.24,10.854,8.721,9.282,
,,Qwen,8,16,ok,20260826-203200_perlmutter_e2e1b008,ours_l01_s1_r2_trace-a2e8ab_b16_k8_isolated,15.08,7.182,0.091,7.814,1.993,0.478,17.458,14.003,15.847,
,,Qwen,8,32,ok,20260826-203200_perlmutter_e2e1b008,ours_l01_s1_r2_trace-a2e8ab_b32_k8_isolated,27.125,13.126,0.177,14.215,2.459,0.269,29.855,25.474,28.799,
,,Qwen,8,64,ok,20260826-203200_perlmutter_e2e1b008,ours_l01_s1_r2_trace-a2e8ab_b64_k8_isolated,51.579,23.888,0.29,27.979,4.703,0.309,55.935,49.66,54.861,
,,K2,16,1,ok,20260826-202541_perlmutter_6b4ce193,ours_l01_s1_r2_trace-610042_b1_k8_isolated,11.657,6.766,0.015,4.879,1.66,0.42,13.647,11.453,12.572,
,,K2,16,2,ok,20260826-202541_perlmutter_6b4ce193,ours_l01_s1_r2_trace-610042_b2_k8_isolated,12.326,7.165,0.016,5.136,1.824,0.46,14.431,12.138,14.836,
,,K2,16,4,ok,20260826-202541_perlmutter_6b4ce193,ours_l01_s1_r2_trace-610042_b4_k8_isolated,14.355,7.754,0.022,6.49,1.825,0.336,16.486,13.604,14.536,
,,K2,16,8,ok,20260826-202541_perlmutter_6b4ce193,ours_l01_s1_r2_trace-610042_b8_k8_isolated,17.571,9.409,0.04,7.837,2.824,0.426,20.583,17.112,19.499,
,,K2,16,16,ok,20260826-202541_perlmutter_6b4ce193,ours_l01_s1_r2_trace-610042_b16_k8_isolated,26.524,13.89,0.073,12.991,3.124,0.748,29.848,25.622,28.102,
,,K2,16,32,ok,20260826-202541_perlmutter_6b4ce193,ours_l01_s1_r2_trace-610042_b32_k8_isolated,43.086,21.342,0.12,22.475,3.526,0.518,47.509,42.076,47.141,
,,K2,16,64,ok,20260826-202541_perlmutter_6b4ce193,ours_l01_s1_r2_trace-610042_b64_k8_isolated,80.251,39.681,0.253,40.68,6.327,0.762,86.432,77.685,85.924,
,,Qwen,16,1,ok,20260826-203704_perlmutter_ed48058d,ours_l01_s1_r2_trace-a2e8ab_b1_k8_isolated,10.964,6.604,0.014,4.34,1.626,0.363,12.886,10.798,11.019,
,,Qwen,16,2,ok,20260826-203704_perlmutter_ed48058d,ours_l01_s1_r2_trace-a2e8ab_b2_k8_isolated,11.58,6.899,0.021,4.66,1.695,0.615,13.801,11.489,11.88,
,,Qwen,16,4,ok,20260826-203704_perlmutter_ed48058d,ours_l01_s1_r2_trace-a2e8ab_b4_k8_isolated,12.974,7.74,0.029,5.175,2.335,0.366,15.34,12.517,13.475,
,,Qwen,16,8,ok,20260826-203704_perlmutter_ed48058d,ours_l01_s1_r2_trace-a2e8ab_b8_k8_isolated,15.754,8.462,0.049,7.109,2.321,0.382,18.392,15.004,17.228,
,,Qwen,16,16,ok,20260826-203704_perlmutter_ed48058d,ours_l01_s1_r2_trace-a2e8ab_b16_k8_isolated,22.696,11.531,0.084,11.141,3.457,0.478,26.357,21.811,24.154,
,,Qwen,16,32,ok,20260826-203704_perlmutter_ed48058d,ours_l01_s1_r2_trace-a2e8ab_b32_k8_isolated,38.77,18.439,0.135,19.633,4.733,0.701,43.843,36.778,40.285,
,,Qwen,16,64,ok,20260826-203704_perlmutter_ed48058d,ours_l01_s1_r2_trace-a2e8ab_b64_k8_isolated,71.051,34.031,0.335,36.487,8.279,0.741,78.734,66.997,72.695,
