model,variant,budget,topic,status,total_ms,e2e_ms
Kimi-K2,l01_allgather_dense,32,philosophy,ok,27.594,26.796
Kimi-K2,l01_allgather_dense,32,professional_law,ok,32.084,31.211
Kimi-K2,l01_allgather_dense,64,clinical_knowledge,ok,54.577,53.153
Kimi-K2,l01_allgather_dense,64,college_mathematics,ok,59.756,58.345
Kimi-K2,l01_allgather_dense,64,electrical_engineeri,ok,56.936,55.733
Kimi-K2,l01_allgather_dense,64,execution,ok,60.653,59.558
Kimi-K2,l01_allgather_dense,64,high_school_psycholo,ok,55.999,54.783
Kimi-K2,l01_allgather_dense,64,high_school_world_hi,ok,53.179,51.785
Kimi-K2,l01_allgather_dense,64,philosophy,ok,51.644,50.635
Kimi-K2,l01_allgather_dense,64,professional_law,ok,64.075,62.623
Kimi-K2,l01_slipstream,1,clinical_knowledge,ok,4.171,3.313
Kimi-K2,l01_slipstream,1,college_mathematics,ok,3.968,3.307
Kimi-K2,l01_slipstream,1,electrical_engineeri,ok,3.958,3.306
Kimi-K2,l01_slipstream,1,execution,ok,4.002,3.342
Kimi-K2,l01_slipstream,1,high_school_psycholo,ok,3.941,3.305
Kimi-K2,l01_slipstream,1,high_school_world_hi,ok,3.913,3.258
Kimi-K2,l01_slipstream,1,philosophy,ok,3.995,3.334
Kimi-K2,l01_slipstream,1,professional_law,ok,4.107,3.456
Kimi-K2,l01_slipstream,2,clinical_knowledge,ok,4.675,3.99
Kimi-K2,l01_slipstream,2,college_mathematics,ok,4.79,4.036
Kimi-K2,l01_slipstream,2,electrical_engineeri,ok,4.652,3.993
Kimi-K2,l01_slipstream,2,execution,ok,4.78,4.136
Kimi-K2,l01_slipstream,2,high_school_psycholo,ok,4.637,3.947
Kimi-K2,l01_slipstream,2,high_school_world_hi,ok,4.648,3.975
Kimi-K2,l01_slipstream,2,philosophy,ok,4.814,3.864
Kimi-K2,l01_slipstream,2,professional_law,ok,4.82,4.159
Kimi-K2,l01_slipstream,4,clinical_knowledge,ok,6.735,5.544
Kimi-K2,l01_slipstream,4,college_mathematics,ok,6.757,5.731
Kimi-K2,l01_slipstream,4,electrical_engineeri,ok,6.539,5.809
Kimi-K2,l01_slipstream,4,execution,ok,6.549,5.814
Kimi-K2,l01_slipstream,4,high_school_psycholo,ok,6.477,5.675
Kimi-K2,l01_slipstream,4,high_school_world_hi,ok,6.317,5.541
