model,nodes,budget,C,router,rows,c2_over,c2_under,nonhost,c3_real,c3_rounded,conserve,replica_ratio_min,replica_ratio_max,gpu_ratio_min,gpu_ratio_max,remote_rows,incidence,ref_incidence,kstats_bad,capsule,cell
Qwen,4,16,1/4,pv3,262144,0,0,0,0,0,True,0.7491,1.2509,0.8643,1.093,155101,72595,,0,20260915-054236_perlmutter_38036670,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
Qwen,4,16,1/4,pv3c,262144,0,0,0,0,0,True,0.7896,1.2104,0.9176,1.0616,155101,67124,,0,20260915-054236_perlmutter_38036670,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
Qwen,4,16,1/2,pv3,262144,0,0,0,0,0,True,0.4994,1.5006,0.7279,1.184,155101,70245,,0,20260915-054236_perlmutter_38036670,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
Qwen,4,16,1/2,pv3c,262144,0,0,0,0,0,True,0.5517,1.4483,0.8248,1.141,155101,61792,,0,20260915-054236_perlmutter_38036670,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
K2,8,1,1/4,pv3,18432,0,0,0,0,0,True,0.7333,1.2667,0.8913,1.084,14278,9368,,0,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
K2,8,1,1/4,pv3c,18432,0,0,0,0,0,True,0.7883,1.2117,0.9346,1.0363,14278,8999,8900 (+1.1%),0,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
K2,8,1,1/2,pv3,18432,0,0,0,0,0,True,0.4828,1.5172,0.8254,1.1297,14278,9350,,0,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
K2,8,1,1/2,pv3c,18432,0,0,0,0,0,True,0.6423,1.3577,0.8982,1.0597,14278,8639,8579 (+0.7%),0,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
K2,8,16,1/4,pv3,299008,0,0,0,0,0,True,0.7488,1.2512,0.8906,1.0928,230700,150624,,0,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated
K2,8,16,1/4,pv3c,299008,0,0,0,0,0,True,0.8205,1.1596,0.9623,1.0384,230700,142220,,0,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated
K2,8,16,1/2,pv3,299008,0,0,0,0,0,True,0.4992,1.5008,0.8234,1.1397,230700,150381,,0,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated
K2,8,16,1/2,pv3c,299008,0,0,0,0,0,True,0.6738,1.3262,0.9111,1.054,230700,136575,,0,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated
Qwen,8,1,1/4,pv3,32768,0,0,0,0,0,True,0.7391,1.2553,0.8008,1.1365,23866,13473,,0,20260915-090203_perlmutter_294ed6a4,ours_l01_s1_pv2_r2_trace-a2e8ab_b1_k8_isolated
Qwen,8,1,1/4,pv3c,32768,0,0,0,0,0,True,0.7681,1.2309,0.8973,1.1239,23866,12382,12261 (+1.0%),0,20260915-090203_perlmutter_294ed6a4,ours_l01_s1_pv2_r2_trace-a2e8ab_b1_k8_isolated
Qwen,8,1,1/2,pv3,32768,0,0,0,0,0,True,0.4928,1.5042,0.6629,1.2442,23866,13402,,0,20260915-090203_perlmutter_294ed6a4,ours_l01_s1_pv2_r2_trace-a2e8ab_b1_k8_isolated
Qwen,8,1,1/2,pv3c,32768,0,0,0,0,0,True,0.5362,1.4382,0.7472,1.152,23866,11548,11500 (+0.4%),0,20260915-090203_perlmutter_294ed6a4,ours_l01_s1_pv2_r2_trace-a2e8ab_b1_k8_isolated
Qwen,8,16,1/4,pv3,524288,0,0,0,0,0,True,0.7497,1.2503,0.8031,1.1346,379565,215679,,0,20260915-090203_perlmutter_294ed6a4,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
Qwen,8,16,1/4,pv3c,524288,0,0,0,0,0,True,0.7712,1.236,0.9104,1.1197,379565,195281,,0,20260915-090203_perlmutter_294ed6a4,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
Qwen,8,16,1/2,pv3,524288,0,0,0,0,0,True,0.4998,1.5002,0.6647,1.2506,379565,213461,,0,20260915-090203_perlmutter_294ed6a4,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
Qwen,8,16,1/2,pv3c,524288,0,0,0,0,0,True,0.5699,1.4502,0.7466,1.1748,379565,182440,,0,20260915-090203_perlmutter_294ed6a4,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
K2,16,1,1/4,pv3,36864,0,0,0,0,0,True,0.7333,1.2667,0.8677,1.1682,31489,24338,,0,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
K2,16,1,1/4,pv3c,36864,0,0,0,0,0,True,0.7742,1.2258,0.9208,1.0643,31489,23141,22866 (+1.2%),0,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
K2,16,1,1/2,pv3,36864,0,0,0,0,0,True,0.4839,1.5161,0.7648,1.3199,31489,24276,,0,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
K2,16,1,1/2,pv3c,36864,0,0,0,0,0,True,0.6344,1.3656,0.8478,1.1453,31489,21887,21774 (+0.5%),0,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
K2,16,16,1/4,pv3,598016,0,0,0,0,0,True,0.749,1.251,0.842,1.1595,512118,396621,,0,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated
K2,16,16,1/4,pv3c,598016,0,0,0,0,0,True,0.8007,1.1993,0.9487,1.0439,512118,367460,,0,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated
K2,16,16,1/2,pv3,598016,0,0,0,0,0,True,0.4992,1.5008,0.7401,1.3158,512118,395386,,0,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated
K2,16,16,1/2,pv3c,598016,0,0,0,0,0,True,0.6201,1.3799,0.8757,1.0943,512118,347276,,0,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated
Qwen,16,1,1/4,pv3,65536,0,0,0,3,0,True,0.7415,1.2585,0.7485,1.2514,52344,36446,,0,20260915-094347_perlmutter_28d64661,ours_l01_s1_pv2_r2_trace-a2e8ab_b1_k8_isolated
Qwen,16,1,1/4,pv3c,65536,0,0,0,0,0,True,0.7776,1.2511,0.8457,1.1158,52344,33244,32840 (+1.2%),0,20260915-094347_perlmutter_28d64661,ours_l01_s1_pv2_r2_trace-a2e8ab_b1_k8_isolated
Qwen,16,1,1/2,pv3,65536,0,0,0,0,0,True,0.4973,1.5061,0.5436,1.4576,52344,36009,,0,20260915-094347_perlmutter_28d64661,ours_l01_s1_pv2_r2_trace-a2e8ab_b1_k8_isolated
Qwen,16,1,1/2,pv3c,65536,0,0,0,0,0,True,0.5544,1.4932,0.7058,1.2152,52344,30318,30143 (+0.6%),0,20260915-094347_perlmutter_28d64661,ours_l01_s1_pv2_r2_trace-a2e8ab_b1_k8_isolated
Qwen,16,16,1/4,pv3,1048576,0,0,0,3,0,True,0.7497,1.2503,0.7499,1.2501,835951,583205,,0,20260915-094347_perlmutter_28d64661,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
Qwen,16,16,1/4,pv3c,1048576,0,0,0,0,0,True,0.7874,1.245,0.8561,1.108,835951,522343,,0,20260915-094347_perlmutter_28d64661,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
Qwen,16,16,1/2,pv3,1048576,0,0,0,0,0,True,0.4995,1.5005,0.535,1.4649,835951,575898,,0,20260915-094347_perlmutter_28d64661,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
Qwen,16,16,1/2,pv3c,1048576,0,0,0,0,0,True,0.5681,1.4801,0.7225,1.2019,835951,477069,,0,20260915-094347_perlmutter_28d64661,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
K2,32,1,1/4,pv3,73728,0,0,0,1,0,True,0.7333,1.2667,0.7523,1.2527,66170,56483,,0,20260915-131546_perlmutter_0a42f19c,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
K2,32,1,1/4,pv3c,73728,0,0,0,0,0,True,0.7636,1.2364,0.7955,1.1647,66170,53971,,0,20260915-131546_perlmutter_0a42f19c,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
K2,32,1,1/2,pv3,73728,0,0,0,0,0,True,0.492,1.508,0.5068,1.4847,66170,56362,,0,20260915-131546_perlmutter_0a42f19c,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
K2,32,1,1/2,pv3c,73728,0,0,0,0,0,True,0.5161,1.4839,0.5614,1.3199,66170,51218,,0,20260915-131546_perlmutter_0a42f19c,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
K2,32,64,1/4,pv3,4792320,0,0,0,0,0,True,0.7495,1.2505,0.7562,1.2493,4303853,3665946,,0,20260915-131929_perlmutter_54c9a682,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated
K2,32,64,1/4,pv3c,4792320,0,0,0,0,0,True,0.7904,1.2096,0.8337,1.1253,4303853,3383657,,0,20260915-131929_perlmutter_54c9a682,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated
K2,32,64,1/2,pv3,4792320,0,0,0,0,0,True,0.4998,1.5002,0.5125,1.48,4303853,3659339,,0,20260915-131929_perlmutter_54c9a682,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated
K2,32,64,1/2,pv3c,4792320,0,0,0,0,0,True,0.535,1.465,0.5911,1.2573,4303853,3210314,,0,20260915-131929_perlmutter_54c9a682,ours_l01_s1_pv2_r2_trace-610042_b64_k8_isolated
