nodes,model,budget,loccap,pv3,pv3c,c2viol,gpu_max,c3_round
8,K2,1,8322,9391,9293,0,1.0175827218607227,0
8,K2,4,33899,38228,37621,0,1.0140845070422537,0
8,K2,16,133606,151250,148961,0,1.0122340467870703,0
8,Qwen,4,48411,54934,53242,0,1.0292397095834562,0
8,Qwen,16,193358,218826,211941,0,1.0266264757598593,0
16,K2,1,20614,24422,24110,0,1.033085051099948,0
16,K2,4,84430,100870,98817,0,1.0145136387030365,0
16,K2,16,332935,397823,389368,0,1.0100114492637857,0
16,Qwen,1,28205,36864,35864,0,1.0371262291792094,0
16,Qwen,4,111092,147702,143074,0,1.0271459539910053,0
16,Qwen,16,442838,590808,571537,0,1.0259338838275731,0
