baseline,variant,model,nodes,budget_mib,status,capsule,cell_id,deterministic,e2e_ms,l0_ms,act_ms,l1_ms,plan_ms,plan_comm_ms,total_ms,e2e_min,e2e_max,fail_reason
COMET,l01_allgather_dense,Qwen,4,8,ok,20260823-161534_perlmutter_ee1a8d3c,l01_allgather_dense_trace-a2e8ab_b8_k8_isolated,0,9.558,3.676,0.031,5.822,0.313,0.239,10.059,9.277,9.765,
COMET,l01_allgather_dense,Qwen,4,16,ok,20260823-161534_perlmutter_ee1a8d3c,l01_allgather_dense_trace-a2e8ab_b16_k8_isolated,0,14.358,6.692,0.084,7.824,0.411,0.293,15.131,13.938,15.685,
COMET,l01_allgather_dense,Qwen,4,32,ok,20260823-161534_perlmutter_ee1a8d3c,l01_allgather_dense_trace-a2e8ab_b32_k8_isolated,0,26.186,12.337,0.128,13.727,0.583,0.363,27.022,25.72,27.213,
COMET,l01_allgather_dense,Qwen,4,64,ok,20260823-161534_perlmutter_ee1a8d3c,l01_allgather_dense_trace-a2e8ab_b64_k8_isolated,0,50.129,23.358,0.328,26.321,0.846,0.478,51.317,48.915,52.969,
COMET,l01_allgather_dense,Qwen,8,1,ok,20260823-172721_perlmutter_286c6a20,l01_allgather_dense_trace-a2e8ab_b1_k8_isolated,0,10.255,2.461,0.01,7.769,0.252,0.309,10.816,10.225,10.662,
COMET,l01_allgather_dense,Qwen,8,2,ok,20260823-172721_perlmutter_286c6a20,l01_allgather_dense_trace-a2e8ab_b2_k8_isolated,0,11.096,3.027,0.017,8.06,0.268,0.309,11.801,10.996,11.282,
COMET,l01_allgather_dense,Qwen,8,4,ok,20260823-172721_perlmutter_286c6a20,l01_allgather_dense_trace-a2e8ab_b4_k8_isolated,0,12.927,4.194,0.029,8.721,0.308,0.306,13.523,12.701,13.347,
COMET,l01_allgather_dense,Qwen,8,8,ok,20260823-172721_perlmutter_286c6a20,l01_allgather_dense_trace-a2e8ab_b8_k8_isolated,0,17.942,6.743,0.056,10.94,0.361,0.714,18.76,17.132,19.618,
COMET,l01_allgather_dense,Qwen,8,16,ok,20260823-172721_perlmutter_286c6a20,l01_allgather_dense_trace-a2e8ab_b16_k8_isolated,0,30.971,13.277,0.048,17.297,0.501,0.804,31.858,27.932,33.192,
COMET,l01_allgather_dense,Qwen,8,32,ok,20260823-172721_perlmutter_286c6a20,l01_allgather_dense_trace-a2e8ab_b32_k8_isolated,0,55.229,25.32,0.064,30.28,0.785,0.817,56.737,49.39,63.587,
COMET,l01_allgather_dense,Qwen,8,64,ok,20260823-172721_perlmutter_286c6a20,l01_allgather_dense_trace-a2e8ab_b64_k8_isolated,0,106.406,48.37,0.325,56.102,1.486,0.811,108.621,98.855,112.946,
COMET,l01_allgather_dense,Qwen,16,1,ok,20260823-221753_perlmutter_dcee33e7,l01_allgather_dense_trace-a2e8ab_b1_k8_isolated,0,29.004,5.686,0.008,23.217,0.278,0.657,29.831,28.448,30.538,
COMET,l01_allgather_dense,Qwen,16,2,ok,20260823-221753_perlmutter_dcee33e7,l01_allgather_dense_trace-a2e8ab_b2_k8_isolated,0,31.174,6.856,0.015,24.383,0.309,0.809,32.186,31.015,31.387,
