baseline,variant,model,nodes,budget_mib,status,capsule,cell_id,deterministic,e2e_ms,l0_ms,act_ms,l1_ms,plan_ms,plan_comm_ms,total_ms,e2e_min,e2e_max,fail_reason
EPLB,eplb_l01,Qwen,4,64,ok,20260823-164407_perlmutter_a5cb760f,eplb_l01_trace-a2e8ab_b64_k8_isolated,0,127.205,62.719,0.615,63.65,5.343,0.565,132.617,124.949,128.72,
EPLB,eplb_l01,Qwen,8,1,ok,20260823-171047_perlmutter_d87e13c1,eplb_l01_trace-a2e8ab_b1_k8_isolated,0,4.226,2.479,0.017,1.732,2.861,0.638,7.21,4.112,4.354,
EPLB,eplb_l01,Qwen,8,2,ok,20260823-171047_perlmutter_d87e13c1,eplb_l01_trace-a2e8ab_b2_k8_isolated,0,6.458,3.487,0.024,2.803,2.854,0.543,9.468,6.071,19.677,
EPLB,eplb_l01,Qwen,8,4,ok,20260823-171047_perlmutter_d87e13c1,eplb_l01_trace-a2e8ab_b4_k8_isolated,0,11.408,6.005,0.031,5.359,2.87,0.454,14.396,10.87,11.72,
EPLB,eplb_l01,Qwen,8,8,ok,20260823-171047_perlmutter_d87e13c1,eplb_l01_trace-a2e8ab_b8_k8_isolated,0,21.59,11.308,0.09,10.192,2.933,0.632,24.659,20.605,22.651,
EPLB,eplb_l01,Qwen,8,16,ok,20260823-171047_perlmutter_d87e13c1,eplb_l01_trace-a2e8ab_b16_k8_isolated,0,41.076,20.872,0.125,19.975,3.652,0.486,44.796,39.712,42.766,
EPLB,eplb_l01,Qwen,8,32,ok,20260823-171047_perlmutter_d87e13c1,eplb_l01_trace-a2e8ab_b32_k8_isolated,0,81.061,41.544,0.268,38.815,5.056,0.536,86.429,79.29,82.814,
EPLB,eplb_l01,Qwen,8,64,ok,20260823-171047_perlmutter_d87e13c1,eplb_l01_trace-a2e8ab_b64_k8_isolated,0,163.801,84.102,0.458,79.221,8.496,0.654,172.347,159.273,169.338,
EPLB,eplb_l01,Qwen,16,1,ok,20260823-215755_perlmutter_5e8fd5af,eplb_l01_trace-a2e8ab_b1_k8_isolated,0,5.266,3.156,0.016,2.044,2.972,0.371,8.287,4.981,6.928,
EPLB,eplb_l01,Qwen,16,2,ok,20260823-215755_perlmutter_5e8fd5af,eplb_l01_trace-a2e8ab_b2_k8_isolated,0,8.0,4.599,0.022,3.318,2.812,0.717,10.984,7.825,8.226,
EPLB,eplb_l01,Qwen,16,4,ok,20260823-215755_perlmutter_5e8fd5af,eplb_l01_trace-a2e8ab_b4_k8_isolated,0,13.66,7.684,0.031,6.006,2.899,0.612,16.826,12.858,14.238,
EPLB,eplb_l01,Qwen,16,8,ok,20260823-215755_perlmutter_5e8fd5af,eplb_l01_trace-a2e8ab_b8_k8_isolated,0,25.534,14.073,0.069,11.583,3.752,0.717,29.845,24.107,26.573,
EPLB,eplb_l01,Qwen,16,16,ok,20260823-215755_perlmutter_5e8fd5af,eplb_l01_trace-a2e8ab_b16_k8_isolated,0,49.206,27.257,0.151,22.171,5.943,0.701,55.532,47.482,50.806,
EPLB,eplb_l01,Qwen,16,32,ok,20260823-215755_perlmutter_5e8fd5af,eplb_l01_trace-a2e8ab_b32_k8_isolated,0,89.829,46.264,0.316,42.031,10.282,0.844,100.063,86.204,91.533,
EPLB,eplb_l01,Qwen,16,64,failed,20260823-215755_perlmutter_5e8fd5af,eplb_l01_trace-a2e8ab_b64_k8_isolated,0,,,,,,,,,,status=failed exit=143
MoonEP,moonep_l01_nvshmem_getmem,K2,4,1,ok,20260823-164800_perlmutter_7b63ce54,moonep_l01_nvshmem_getmem_trace-610042_b1_k8_isolated,0,12.825,5.317,0.032,7.688,1.79,0.151,14.7,12.62,13.584,
MoonEP,moonep_l01_nvshmem_getmem,K2,4,2,ok,20260823-164800_perlmutter_7b63ce54,moonep_l01_nvshmem_getmem_trace-610042_b2_k8_isolated,0,16.709,11.473,0.036,5.182,1.82,0.152,18.562,16.453,18.757,
MoonEP,moonep_l01_nvshmem_getmem,K2,4,4,ok,20260823-164800_perlmutter_7b63ce54,moonep_l01_nvshmem_getmem_trace-610042_b4_k8_isolated,0,22.588,16.644,0.049,6.668,1.777,0.183,24.429,22.286,24.09,
MoonEP,moonep_l01_nvshmem_getmem,K2,4,8,ok,20260823-164800_perlmutter_7b63ce54,moonep_l01_nvshmem_getmem_trace-610042_b8_k8_isolated,0,31.68,18.034,0.081,13.439,1.861,0.187,33.644,30.934,33.135,
MoonEP,moonep_l01_nvshmem_getmem,K2,4,16,ok,20260823-164800_perlmutter_7b63ce54,moonep_l01_nvshmem_getmem_trace-610042_b16_k8_isolated,0,43.361,17.558,0.136,25.815,1.66,0.522,45.291,42.228,44.57,
MoonEP,moonep_l01_nvshmem_getmem,K2,4,32,ok,20260823-164800_perlmutter_7b63ce54,moonep_l01_nvshmem_getmem_trace-610042_b32_k8_isolated,0,58.94,32.674,0.247,26.448,1.864,0.319,60.922,57.727,60.198,
MoonEP,moonep_l01_nvshmem_getmem,K2,4,64,ok,20260823-164800_perlmutter_7b63ce54,moonep_l01_nvshmem_getmem_trace-610042_b64_k8_isolated,0,113.906,54.008,0.473,58.603,2.076,0.458,116.139,110.912,115.739,
MoonEP,moonep_l01_nvshmem_getmem,K2,8,1,ok,20260823-171433_perlmutter_f979307b,moonep_l01_nvshmem_getmem_trace-610042_b1_k8_isolated,0,15.265,9.265,0.021,5.765,2.038,0.266,17.101,14.863,18.401,
MoonEP,moonep_l01_nvshmem_getmem,K2,8,2,ok,20260823-171433_perlmutter_f979307b,moonep_l01_nvshmem_getmem_trace-610042_b2_k8_isolated,0,14.446,6.498,0.024,7.881,1.47,0.449,16.293,14.37,14.779,
MoonEP,moonep_l01_nvshmem_getmem,K2,8,4,ok,20260823-171433_perlmutter_f979307b,moonep_l01_nvshmem_getmem_trace-610042_b4_k8_isolated,0,24.464,9.13,0.035,15.405,1.709,0.426,26.317,24.025,25.795,
MoonEP,moonep_l01_nvshmem_getmem,K2,8,8,ok,20260823-171433_perlmutter_f979307b,moonep_l01_nvshmem_getmem_trace-610042_b8_k8_isolated,0,30.01,14.618,0.067,15.271,1.455,0.608,31.969,29.117,31.228,
MoonEP,moonep_l01_nvshmem_getmem,K2,8,16,ok,20260823-171433_perlmutter_f979307b,moonep_l01_nvshmem_getmem_trace-610042_b16_k8_isolated,0,50.526,24.451,0.126,26.23,1.798,0.495,52.556,49.666,51.458,
MoonEP,moonep_l01_nvshmem_getmem,K2,8,32,ok,20260823-171433_perlmutter_f979307b,moonep_l01_nvshmem_getmem_trace-610042_b32_k8_isolated,0,80.429,45.942,0.237,33.702,1.809,0.525,82.702,77.363,83.481,
MoonEP,moonep_l01_nvshmem_getmem,K2,8,64,ok,20260823-171433_perlmutter_f979307b,moonep_l01_nvshmem_getmem_trace-610042_b64_k8_isolated,0,158.047,82.939,0.463,75.163,2.33,0.956,161.141,154.576,159.489,
MoonEP,moonep_l01_nvshmem_getmem,K2,16,1,ok,20260823-220119_perlmutter_583e77b5,moonep_l01_nvshmem_getmem_trace-610042_b1_k8_isolated,0,17.993,10.162,0.018,7.892,2.031,0.459,19.877,17.904,18.794,
MoonEP,moonep_l01_nvshmem_getmem,K2,16,2,ok,20260823-220119_perlmutter_583e77b5,moonep_l01_nvshmem_getmem_trace-610042_b2_k8_isolated,0,23.03,10.883,0.021,12.335,1.866,0.656,25.183,22.496,26.162,
MoonEP,moonep_l01_nvshmem_getmem,K2,16,4,ok,20260823-220119_perlmutter_583e77b5,moonep_l01_nvshmem_getmem_trace-610042_b4_k8_isolated,0,25.351,12.894,0.03,12.429,1.673,0.725,27.586,24.595,25.761,
MoonEP,moonep_l01_nvshmem_getmem,K2,16,8,ok,20260823-220119_perlmutter_583e77b5,moonep_l01_nvshmem_getmem_trace-610042_b8_k8_isolated,0,37.712,18.858,0.06,19.747,2.049,0.569,40.247,37.259,39.36,
MoonEP,moonep_l01_nvshmem_getmem,K2,16,16,ok,20260823-220119_perlmutter_583e77b5,moonep_l01_nvshmem_getmem_trace-610042_b16_k8_isolated,0,54.988,28.274,0.121,26.201,2.079,0.915,57.735,53.439,55.627,
MoonEP,moonep_l01_nvshmem_getmem,K2,16,32,ok,20260823-220119_perlmutter_583e77b5,moonep_l01_nvshmem_getmem_trace-610042_b32_k8_isolated,0,85.822,49.145,0.233,37.018,2.634,1.19,89.295,83.836,88.962,
MoonEP,moonep_l01_nvshmem_getmem,K2,16,64,ok,20260823-220119_perlmutter_583e77b5,moonep_l01_nvshmem_getmem_trace-610042_b64_k8_isolated,0,188.527,100.815,0.459,87.066,3.78,2.242,193.908,176.967,191.794,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,4,1,ok,20260823-165736_perlmutter_df7ee971,moonep_l01_nvshmem_getmem_trace-a2e8ab_b1_k8_isolated,0,7.646,4.628,0.019,2.989,1.771,0.138,9.47,7.582,7.709,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,4,2,ok,20260823-165736_perlmutter_df7ee971,moonep_l01_nvshmem_getmem_trace-a2e8ab_b2_k8_isolated,0,10.335,3.824,0.025,6.651,1.718,0.177,12.064,10.091,10.557,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,4,4,ok,20260823-165736_perlmutter_df7ee971,moonep_l01_nvshmem_getmem_trace-a2e8ab_b4_k8_isolated,0,13.514,5.412,0.037,8.022,1.711,0.195,15.357,13.278,14.073,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,4,8,ok,20260823-165736_perlmutter_df7ee971,moonep_l01_nvshmem_getmem_trace-a2e8ab_b8_k8_isolated,0,16.524,7.872,0.082,8.612,1.747,0.262,18.445,15.811,16.81,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,4,16,ok,20260823-165736_perlmutter_df7ee971,moonep_l01_nvshmem_getmem_trace-a2e8ab_b16_k8_isolated,0,36.013,15.764,0.156,20.25,1.773,0.242,37.966,35.499,36.67,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,4,32,ok,20260823-165736_perlmutter_df7ee971,moonep_l01_nvshmem_getmem_trace-a2e8ab_b32_k8_isolated,0,59.809,30.886,0.304,28.811,1.845,0.322,61.831,57.939,60.745,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,4,64,ok,20260823-165736_perlmutter_df7ee971,moonep_l01_nvshmem_getmem_trace-a2e8ab_b64_k8_isolated,0,112.92,54.637,0.6,58.404,2.206,0.435,115.447,110.117,115.46,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,8,1,ok,20260823-171554_perlmutter_b55479aa,moonep_l01_nvshmem_getmem_trace-a2e8ab_b1_k8_isolated,0,10.416,5.404,0.016,4.919,1.709,0.22,12.25,10.272,11.097,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,8,2,ok,20260823-171554_perlmutter_b55479aa,moonep_l01_nvshmem_getmem_trace-a2e8ab_b2_k8_isolated,0,10.682,6.348,0.023,4.305,1.692,0.248,12.502,10.377,11.115,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,8,4,ok,20260823-171554_perlmutter_b55479aa,moonep_l01_nvshmem_getmem_trace-a2e8ab_b4_k8_isolated,0,14.994,8.278,0.034,6.752,1.287,0.666,16.837,14.832,15.188,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,8,8,ok,20260823-171554_perlmutter_b55479aa,moonep_l01_nvshmem_getmem_trace-a2e8ab_b8_k8_isolated,0,22.406,12.985,0.07,9.363,1.41,0.769,24.42,21.831,22.731,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,8,16,ok,20260823-171554_perlmutter_b55479aa,moonep_l01_nvshmem_getmem_trace-a2e8ab_b16_k8_isolated,0,40.421,22.845,0.13,17.709,1.578,0.745,42.757,39.376,41.335,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,8,32,ok,20260823-171554_perlmutter_b55479aa,moonep_l01_nvshmem_getmem_trace-a2e8ab_b32_k8_isolated,0,79.107,42.244,0.251,36.557,2.068,0.66,81.728,77.516,80.418,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,8,64,ok,20260823-171554_perlmutter_b55479aa,moonep_l01_nvshmem_getmem_trace-a2e8ab_b64_k8_isolated,0,158.787,83.577,0.501,74.142,3.102,1.001,162.708,156.702,160.891,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,16,1,ok,20260823-221056_perlmutter_99dd208c,moonep_l01_nvshmem_getmem_trace-a2e8ab_b1_k8_isolated,0,12.553,9.057,0.016,3.371,1.687,0.317,14.404,12.282,14.06,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,16,2,ok,20260823-221056_perlmutter_99dd208c,moonep_l01_nvshmem_getmem_trace-a2e8ab_b2_k8_isolated,0,12.526,6.658,0.022,5.89,1.565,0.779,14.59,12.251,15.469,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,16,4,ok,20260823-221056_perlmutter_99dd208c,moonep_l01_nvshmem_getmem_trace-a2e8ab_b4_k8_isolated,0,17.342,8.577,0.034,8.618,1.651,0.681,19.645,16.632,17.76,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,16,8,ok,20260823-221056_perlmutter_99dd208c,moonep_l01_nvshmem_getmem_trace-a2e8ab_b8_k8_isolated,0,28.166,15.151,0.079,13.055,1.887,1.31,30.735,27.364,29.25,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,16,16,ok,20260823-221056_perlmutter_99dd208c,moonep_l01_nvshmem_getmem_trace-a2e8ab_b16_k8_isolated,0,47.949,26.864,0.153,20.549,2.32,1.132,51.16,46.597,50.126,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,16,32,ok,20260823-221056_perlmutter_99dd208c,moonep_l01_nvshmem_getmem_trace-a2e8ab_b32_k8_isolated,0,90.472,49.367,0.301,41.28,3.242,1.415,94.946,87.661,92.62,
MoonEP,moonep_l01_nvshmem_getmem,Qwen,16,64,ok,20260823-221056_perlmutter_99dd208c,moonep_l01_nvshmem_getmem_trace-a2e8ab_b64_k8_isolated,0,171.625,95.642,0.596,76.023,5.549,1.978,178.606,168.843,176.016,
PLL,llc_l01_s1,K2,4,1,ok,20260823-165431_perlmutter_79966346,llc_l01_s1_trace-610042_b1_k8_isolated,0,6.836,3.7,0.009,3.142,0.901,0.282,8.0,6.816,7.05,
PLL,llc_l01_s1,K2,4,2,ok,20260823-165431_perlmutter_79966346,llc_l01_s1_trace-610042_b2_k8_isolated,0,7.969,4.05,0.012,3.906,0.91,0.276,9.141,7.905,8.189,
PLL,llc_l01_s1,K2,4,4,ok,20260823-165431_perlmutter_79966346,llc_l01_s1_trace-610042_b4_k8_isolated,0,8.891,4.715,0.017,4.168,0.957,0.276,10.152,8.806,9.049,
PLL,llc_l01_s1,K2,4,8,ok,20260823-165431_perlmutter_79966346,llc_l01_s1_trace-610042_b8_k8_isolated,0,11.646,6.174,0.032,5.427,1.118,0.476,13.206,11.287,11.75,
PLL,llc_l01_s1,K2,4,16,ok,20260823-165431_perlmutter_79966346,llc_l01_s1_trace-610042_b16_k8_isolated,0,17.542,9.088,0.059,8.443,1.171,0.286,19.139,17.414,18.124,
PLL,llc_l01_s1,K2,4,32,ok,20260823-165431_perlmutter_79966346,llc_l01_s1_trace-610042_b32_k8_isolated,0,30.086,15.435,0.117,14.695,1.339,0.293,31.817,29.292,30.836,
PLL,llc_l01_s1,K2,4,64,ok,20260823-165431_perlmutter_79966346,llc_l01_s1_trace-610042_b64_k8_isolated,0,58.109,28.92,0.249,28.612,1.754,0.436,60.219,57.097,58.699,
PLL,llc_l01_s1,K2,8,1,ok,20260823-171753_perlmutter_b0a69851,llc_l01_s1_trace-610042_b1_k8_isolated,0,15.034,5.062,0.009,9.942,0.947,0.36,16.349,14.783,17.275,
PLL,llc_l01_s1,K2,8,2,ok,20260823-171753_perlmutter_b0a69851,llc_l01_s1_trace-610042_b2_k8_isolated,0,14.768,5.272,0.012,9.517,0.983,0.643,16.319,14.258,15.655,
PLL,llc_l01_s1,K2,8,4,ok,20260823-171753_perlmutter_b0a69851,llc_l01_s1_trace-610042_b4_k8_isolated,0,17.231,6.384,0.018,10.832,1.117,0.332,18.733,17.049,18.471,
PLL,llc_l01_s1,K2,8,8,ok,20260823-171753_perlmutter_b0a69851,llc_l01_s1_trace-610042_b8_k8_isolated,0,21.061,8.088,0.03,12.868,1.253,0.35,22.817,20.496,27.788,
PLL,llc_l01_s1,K2,8,16,ok,20260823-171753_perlmutter_b0a69851,llc_l01_s1_trace-610042_b16_k8_isolated,0,27.733,11.868,0.044,15.852,1.369,0.617,29.696,27.117,28.63,
PLL,llc_l01_s1,K2,8,32,ok,20260823-171753_perlmutter_b0a69851,llc_l01_s1_trace-610042_b32_k8_isolated,0,45.819,21.479,0.115,24.698,1.875,0.566,48.066,44.804,47.396,
PLL,llc_l01_s1,K2,8,64,ok,20260823-171753_perlmutter_b0a69851,llc_l01_s1_trace-610042_b64_k8_isolated,0,81.709,38.33,0.194,43.029,2.566,0.649,84.579,79.021,86.181,
PLL,llc_l01_s1,K2,16,1,ok,20260823-214601_perlmutter_51b09d35,llc_l01_s1_trace-610042_b1_k8_isolated,0,41.282,9.477,0.009,31.75,1.14,0.804,43.384,40.607,42.756,
PLL,llc_l01_s1,K2,16,2,ok,20260823-214601_perlmutter_51b09d35,llc_l01_s1_trace-610042_b2_k8_isolated,0,41.932,9.885,0.012,32.02,1.337,0.763,44.054,41.574,42.409,
PLL,llc_l01_s1,K2,16,4,ok,20260823-214601_perlmutter_51b09d35,llc_l01_s1_trace-610042_b4_k8_isolated,0,42.584,10.6,0.02,31.845,1.449,0.634,44.655,41.096,43.81,
PLL,llc_l01_s1,K2,16,8,ok,20260823-214601_perlmutter_51b09d35,llc_l01_s1_trace-610042_b8_k8_isolated,0,46.748,12.42,0.028,33.957,1.594,0.823,49.26,45.48,49.78,
PLL,llc_l01_s1,K2,16,16,ok,20260823-214601_perlmutter_51b09d35,llc_l01_s1_trace-610042_b16_k8_isolated,0,59.202,17.938,0.063,41.427,2.266,0.8,61.758,55.545,97.127,
PLL,llc_l01_s1,K2,16,32,ok,20260823-214601_perlmutter_51b09d35,llc_l01_s1_trace-610042_b32_k8_isolated,0,79.95,28.599,0.11,51.13,2.665,0.66,82.928,78.054,82.36,
PLL,llc_l01_s1,K2,16,64,failed,20260823-214601_perlmutter_51b09d35,llc_l01_s1_trace-610042_b64_k8_isolated,0,,,,,,,,,,status=failed exit=143
PLL,llc_l01_s1,Qwen,4,1,ok,20260823-165808_perlmutter_11d115a0,llc_l01_s1_trace-a2e8ab_b1_k8_isolated,0,5.356,3.254,0.009,2.095,0.84,0.285,6.445,5.308,5.44,
PLL,llc_l01_s1,Qwen,4,2,ok,20260823-165808_perlmutter_11d115a0,llc_l01_s1_trace-a2e8ab_b2_k8_isolated,0,5.838,3.535,0.012,2.285,0.893,0.621,7.288,5.737,5.958,
PLL,llc_l01_s1,Qwen,4,4,ok,20260823-165808_perlmutter_11d115a0,llc_l01_s1_trace-a2e8ab_b4_k8_isolated,0,6.831,4.107,0.018,2.693,1.019,0.273,8.142,6.735,6.993,
PLL,llc_l01_s1,Qwen,4,8,ok,20260823-165808_perlmutter_11d115a0,llc_l01_s1_trace-a2e8ab_b8_k8_isolated,0,9.638,5.452,0.027,4.171,1.164,0.275,11.051,9.53,10.781,
PLL,llc_l01_s1,Qwen,4,16,ok,20260823-165808_perlmutter_11d115a0,llc_l01_s1_trace-a2e8ab_b16_k8_isolated,0,15.267,8.08,0.053,7.177,1.291,0.279,16.808,14.961,15.563,
PLL,llc_l01_s1,Qwen,4,32,ok,20260823-165808_perlmutter_11d115a0,llc_l01_s1_trace-a2e8ab_b32_k8_isolated,0,28.196,15.193,0.191,12.829,1.854,0.281,30.325,27.672,28.922,
PLL,llc_l01_s1,Qwen,4,64,ok,20260823-165808_perlmutter_11d115a0,llc_l01_s1_trace-a2e8ab_b64_k8_isolated,0,55.198,28.376,0.367,26.439,2.434,0.293,57.87,54.449,55.787,
PLL,llc_l01_s1,Qwen,8,1,ok,20260823-172124_perlmutter_88afc40b,llc_l01_s1_trace-a2e8ab_b1_k8_isolated,0,11.039,4.735,0.01,6.283,0.903,0.348,12.303,10.512,11.119,
PLL,llc_l01_s1,Qwen,8,2,ok,20260823-172124_perlmutter_88afc40b,llc_l01_s1_trace-a2e8ab_b2_k8_isolated,0,11.189,5.002,0.013,6.201,1.049,0.341,12.614,11.11,13.519,
PLL,llc_l01_s1,Qwen,8,4,ok,20260823-172124_perlmutter_88afc40b,llc_l01_s1_trace-a2e8ab_b4_k8_isolated,0,12.416,5.802,0.024,6.564,1.122,0.33,14.118,12.213,13.454,
PLL,llc_l01_s1,Qwen,8,8,ok,20260823-172124_perlmutter_88afc40b,llc_l01_s1_trace-a2e8ab_b8_k8_isolated,0,16.222,7.62,0.024,8.369,1.712,0.327,17.942,15.538,16.945,
PLL,llc_l01_s1,Qwen,8,16,ok,20260823-172124_perlmutter_88afc40b,llc_l01_s1_trace-a2e8ab_b16_k8_isolated,0,22.599,11.096,0.08,11.222,1.681,0.526,24.547,21.77,23.1,
PLL,llc_l01_s1,Qwen,8,32,ok,20260823-172124_perlmutter_88afc40b,llc_l01_s1_trace-a2e8ab_b32_k8_isolated,0,38.728,18.906,0.125,18.946,2.393,0.617,41.297,37.656,39.443,
PLL,llc_l01_s1,Qwen,8,64,ok,20260823-172124_perlmutter_88afc40b,llc_l01_s1_trace-a2e8ab_b64_k8_isolated,0,70.492,35.286,0.217,35.045,3.893,0.395,74.811,68.139,77.76,
PLL,llc_l01_s1,Qwen,16,1,ok,20260823-214930_perlmutter_ce75ec1d,llc_l01_s1_trace-a2e8ab_b1_k8_isolated,0,29.262,9.121,0.009,20.08,1.12,0.717,31.211,28.512,30.423,
PLL,llc_l01_s1,Qwen,16,2,ok,20260823-214930_perlmutter_ce75ec1d,llc_l01_s1_trace-a2e8ab_b2_k8_isolated,0,30.14,9.562,0.012,20.619,1.33,0.767,32.269,29.368,33.635,
PLL,llc_l01_s1,Qwen,16,4,failed,20260823-214930_perlmutter_ce75ec1d,llc_l01_s1_trace-a2e8ab_b4_k8_isolated,0,,,,,,,,,,status=failed exit=1
PLL,llc_l01_s1,Qwen,16,8,failed,20260823-214930_perlmutter_ce75ec1d,llc_l01_s1_trace-a2e8ab_b8_k8_isolated,0,,,,,,,,,,status=failed exit=143
PLL,llc_l01_s1,Qwen,16,16,failed,20260823-214930_perlmutter_ce75ec1d,llc_l01_s1_trace-a2e8ab_b16_k8_isolated,0,,,,,,,,,,status=failed exit=1
PLL,llc_l01_s1,Qwen,16,32,failed,20260823-214930_perlmutter_ce75ec1d,llc_l01_s1_trace-a2e8ab_b32_k8_isolated,0,,,,,,,,,,status=failed exit=143
PLL,llc_l01_s1,Qwen,16,64,failed,20260823-214930_perlmutter_ce75ec1d,llc_l01_s1_trace-a2e8ab_b64_k8_isolated,0,,,,,,,,,,status=failed exit=143
Slipstream,l01_slipstream,K2,4,1,ok,20260823-164017_perlmutter_9ad2a411,l01_slipstream_trace-610042_b1_k8_isolated,0,4.996,1.567,0.011,3.406,0.708,0.161,5.825,4.873,5.147,
Slipstream,l01_slipstream,K2,4,2,ok,20260823-164017_perlmutter_9ad2a411,l01_slipstream_trace-610042_b2_k8_isolated,0,5.464,2.028,0.013,3.467,0.846,0.179,6.325,5.32,5.765,
Slipstream,l01_slipstream,K2,4,4,ok,20260823-164017_perlmutter_9ad2a411,l01_slipstream_trace-610042_b4_k8_isolated,0,6.582,2.556,0.02,4.024,0.745,0.202,7.528,6.339,6.81,
Slipstream,l01_slipstream,K2,4,8,ok,20260823-164017_perlmutter_9ad2a411,l01_slipstream_trace-610042_b8_k8_isolated,0,8.856,3.981,0.032,4.865,0.774,0.382,10.037,8.688,9.098,
Slipstream,l01_slipstream,K2,4,16,ok,20260823-164017_perlmutter_9ad2a411,l01_slipstream_trace-610042_b16_k8_isolated,0,14.635,7.346,0.06,7.123,0.88,0.472,15.898,13.944,14.99,
Slipstream,l01_slipstream,K2,4,32,ok,20260823-164017_perlmutter_9ad2a411,l01_slipstream_trace-610042_b32_k8_isolated,0,26.653,13.789,0.124,12.583,1.072,0.325,28.08,25.545,26.997,
Slipstream,l01_slipstream,K2,4,64,ok,20260823-164017_perlmutter_9ad2a411,l01_slipstream_trace-610042_b64_k8_isolated,0,49.465,25.47,0.212,23.633,1.524,0.579,51.43,47.754,50.663,
Slipstream,l01_slipstream,K2,8,1,ok,20260823-170621_perlmutter_fb5adedd,l01_slipstream_trace-610042_b1_k8_isolated,0,12.848,2.653,0.012,10.122,0.741,0.239,13.772,12.554,15.197,
Slipstream,l01_slipstream,K2,8,2,ok,20260823-170621_perlmutter_fb5adedd,l01_slipstream_trace-610042_b2_k8_isolated,0,12.998,2.891,0.013,10.076,0.752,0.27,14.032,12.736,13.269,
Slipstream,l01_slipstream,K2,8,4,ok,20260823-170621_perlmutter_fb5adedd,l01_slipstream_trace-610042_b4_k8_isolated,0,15.397,4.159,0.029,11.231,0.765,0.277,16.424,15.181,15.547,
Slipstream,l01_slipstream,K2,8,8,ok,20260823-170621_perlmutter_fb5adedd,l01_slipstream_trace-610042_b8_k8_isolated,0,19.138,6.537,0.037,12.636,0.844,0.312,20.245,18.617,19.569,
Slipstream,l01_slipstream,K2,8,16,ok,20260823-170621_perlmutter_fb5adedd,l01_slipstream_trace-610042_b16_k8_isolated,0,28.201,11.667,0.059,16.386,0.952,0.691,29.659,27.473,29.123,
Slipstream,l01_slipstream,K2,8,32,ok,20260823-170621_perlmutter_fb5adedd,l01_slipstream_trace-610042_b32_k8_isolated,0,47.96,21.982,0.142,25.809,1.25,0.685,49.702,45.661,49.437,
Slipstream,l01_slipstream,K2,8,64,ok,20260823-170621_perlmutter_fb5adedd,l01_slipstream_trace-610042_b64_k8_isolated,0,83.742,39.909,0.144,44.064,1.759,1.031,86.18,81.632,88.105,
Slipstream,l01_slipstream,K2,16,1,ok,20260823-183017_perlmutter_b6a33ade,l01_slipstream_trace-610042_b1_k8_isolated,0,41.926,6.471,0.01,35.498,0.96,0.756,43.46,40.39,43.412,
Slipstream,l01_slipstream,K2,16,2,ok,20260823-183017_perlmutter_b6a33ade,l01_slipstream_trace-610042_b2_k8_isolated,0,42.731,6.846,0.012,35.789,0.97,0.705,44.059,42.362,45.272,
Slipstream,l01_slipstream,K2,16,4,ok,20260823-183017_perlmutter_b6a33ade,l01_slipstream_trace-610042_b4_k8_isolated,0,45.155,8.172,0.016,36.819,1.03,0.785,46.658,44.648,46.087,
Slipstream,l01_slipstream,K2,16,8,ok,20260823-183017_perlmutter_b6a33ade,l01_slipstream_trace-610042_b8_k8_isolated,0,50.385,11.058,0.03,39.231,1.152,0.81,52.092,49.621,51.186,
Slipstream,l01_slipstream,K2,16,16,ok,20260823-183017_perlmutter_b6a33ade,l01_slipstream_trace-610042_b16_k8_isolated,0,59.683,18.104,0.06,41.402,1.321,0.861,61.645,58.56,61.082,
Slipstream,l01_slipstream,K2,16,32,ok,20260823-183017_perlmutter_b6a33ade,l01_slipstream_trace-610042_b32_k8_isolated,0,82.924,31.281,0.071,51.427,1.794,1.349,85.595,81.693,83.747,
Slipstream,l01_slipstream,K2,16,64,ok,20260823-183017_perlmutter_b6a33ade,l01_slipstream_trace-610042_b64_k8_isolated,0,134.793,59.559,0.171,74.641,2.997,2.104,139.208,131.385,139.967,
Slipstream,l01_slipstream,Qwen,4,1,ok,20260823-164302_perlmutter_fece63f5,l01_slipstream_trace-a2e8ab_b1_k8_isolated,0,3.283,1.085,0.01,2.172,0.682,0.162,4.15,3.175,3.354,
