nodes,model,budget_mib,router,S,K,nlp,rows_total,copies,drift_ppm,ref_ms,forced,over_cap_rows,uniform_cap_over,c2_over_rows,c2_under_rows,c2_replicas_violating,nonhost_rows,replica_ratio_min,replica_ratio_max,gpu_ratio_min,gpu_ratio_max,c3_real_violations,c3_rounded_violations,rows_max,Q_max,Q_over_SK_max,imbalance_max_over_mean,remote_rows,incidence,cell_id
4,K2,1,loccap_sl,72,8,26,9216,416,462313,56.4871639944613,93,93,93,86,79,36,0,0.5882352941176471,1.411764705882353,0.9683604985618408,1.0421307506053268,0,0,648,659.8333333333334,1.1455439814814816,1.125,5941,2749,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
4,K2,1,pv3,72,8,26,9216,416,462313,20.963190007023513,0,0,88,0,0,0,0,0.8979591836734694,1.1020408163265305,0.9804270462633452,1.0224996371026276,0,0,656,659.8333333333334,1.1455439814814816,1.1388888888888888,5969,2856,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
4,K2,1,evensplit,72,8,26,9216,416,462313,nan,0,0,89,0,0,0,0,0.9795918367346939,1.0204081632653061,0.99712368168744,1.0024174053182917,0,0,658,659.8333333333334,1.1455439814814816,1.1423611111111112,6204,2907,ours_l01_s1_pv2_r2_trace-610042_b1_k8_isolated
4,K2,4,loccap_sl,296,8,26,37888,416,345576,23.208873928524554,213,213,213,259,249,31,0,0.6834862385321101,1.31651376146789,0.9576847182635387,1.0420503716853433,0,0,2668,2637.833333333333,1.1139498873873872,1.1266891891891893,23946,11125,ours_l01_s1_pv2_r2_trace-610042_b4_k8_isolated
4,K2,4,pv3,296,8,26,37888,416,345576,21.635134937241673,0,0,239,0,0,0,0,0.9306122448979591,1.0693877551020408,0.9882546878219658,1.0216644363268113,0,0,2628,2637.833333333333,1.1139498873873872,1.1097972972972974,23953,11630,ours_l01_s1_pv2_r2_trace-610042_b4_k8_isolated
4,K2,4,evensplit,296,8,26,37888,416,345576,nan,0,0,266,0,0,0,0,0.995475113122172,1.004524886877828,0.9994532531437944,1.000776655941418,0,0,2637,2637.833333333333,1.1139498873873872,1.113597972972973,24851,11796,ours_l01_s1_pv2_r2_trace-610042_b4_k8_isolated
4,K2,16,loccap_sl,1168,8,26,149504,416,158616,50.16078904736787,574,574,574,1131,987,31,0,0.6350446428571429,1.3649553571428572,0.9674050195717246,1.052880954395465,0,0,10498,10460.166666666668,1.1194527682648403,1.1235017123287672,94567,44139,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated
4,K2,16,pv3,1168,8,26,149504,416,158616,31.294735032133758,0,0,924,0,0,0,0,0.9352179034157833,1.0647820965842167,0.9858623071609487,1.0095970321782843,0,0,10414,10460.166666666668,1.1194527682648403,1.11451198630137,94574,46096,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated
4,K2,16,evensplit,1168,8,26,149504,416,158616,nan,0,0,985,0,0,0,0,0.9988221436984688,1.0011778563015312,0.999788164862998,1.0001974222297432,0,0,10461,10460.166666666668,1.1194527682648403,1.1195419520547945,97712,46569,ours_l01_s1_pv2_r2_trace-610042_b16_k8_isolated
4,Qwen,1,loccap_sl,128,8,10,16384,160,433210,13.902422972023487,1041,1041,1041,252,249,37,0,0.648,1.352,0.9030883919062833,1.0949621043245654,4,2,1360,1309.5,1.27880859375,1.328125,9846,4091,ours_l01_s1_pv2_r2_trace-a2e8ab_b1_k8_isolated
4,Qwen,1,pv3,128,8,10,16384,160,433210,17.24180008750409,0,0,838,0,0,0,0,0.927710843373494,1.072289156626506,0.9691160809371672,1.0243693886276186,0,0,1341,1309.5,1.27880859375,1.3095703125,9846,4532,ours_l01_s1_pv2_r2_trace-a2e8ab_b1_k8_isolated
4,Qwen,1,evensplit,128,8,10,16384,160,433210,nan,0,0,802,0,0,0,0,0.9902912621359223,1.0097087378640777,0.99798873692679,1.0014035983156822,0,0,1310,1309.5,1.27880859375,1.279296875,10642,4704,ours_l01_s1_pv2_r2_trace-a2e8ab_b1_k8_isolated
4,Qwen,4,loccap_sl,512,8,10,65536,160,235712,30.963926925323904,3947,3947,3947,1217,1255,45,0,0.646784715750233,1.3532152842497671,0.9168076425514977,1.0962361956276763,6,6,5547,5219.0,1.274169921875,1.354248046875,38607,15958,ours_l01_s1_pv2_r2_trace-a2e8ab_b4_k8_isolated
4,Qwen,4,pv3,512,8,10,65536,160,235712,23.324619978666306,0,0,3299,0,0,0,0,0.9351230425055929,1.0648769574944073,0.967111819812637,1.0209601081812034,0,0,5325,5219.0,1.274169921875,1.300048828125,38607,17923,ours_l01_s1_pv2_r2_trace-a2e8ab_b4_k8_isolated
4,Qwen,4,evensplit,512,8,10,65536,160,235712,nan,0,0,3124,0,0,0,0,0.9977628635346756,1.0022371364653244,0.999441741765691,1.0005441683294032,0,0,5220,5219.0,1.274169921875,1.2744140625,41726,18584,ours_l01_s1_pv2_r2_trace-a2e8ab_b4_k8_isolated
4,Qwen,16,loccap_sl,2048,8,10,262144,160,575963,80.04016103222966,16359,16359,16359,4299,4425,44,0,0.6525679758308157,1.3474320241691844,0.9253121146081462,1.0932459817338922,4,4,22032,20795.0,1.26922607421875,1.3447265625,155101,64284,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
4,Qwen,16,pv3,2048,8,10,262144,160,575963,47.470915014855564,0,0,13932,0,0,0,0,0.9369246505284692,1.0630753494715308,0.9666007804976939,1.024635801998322,0,0,21032,20795.0,1.26922607421875,1.28369140625,155101,71969,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
4,Qwen,16,evensplit,2048,8,10,262144,160,575963,nan,0,0,13186,0,0,0,0,0.9996544972935621,1.0003409478349812,0.9998609869923543,1.0000832801265858,0,0,20796,20795.0,1.26922607421875,1.269287109375,167096,74608,ours_l01_s1_pv2_r2_trace-a2e8ab_b16_k8_isolated
