# Figure tables generated from docs/handoff/30_arms_synthesis_results_tidy.csv
# See figure_tables.py docstring for layout/conventions.

# === Qwen 3 | 4n ===
arm,total_b1,total_b2,total_b4,total_b8,total_b16,total_b32,total_b64,,plan_b1,plan_b2,plan_b4,plan_b8,plan_b16,plan_b32,plan_b64,,layer0_b1,layer0_b2,layer0_b4,layer0_b8,layer0_b16,layer0_b32,layer0_b64,,layer1_b1,layer1_b2,layer1_b4,layer1_b8,layer1_b16,layer1_b32,layer1_b64
Comet,7.345,8.109,10.686,17.278,29.257,54.774,108.974,,0.483,0.513,0.619,0.936,1.114,1.812,2.565,,2.485,3.058,4.265,7.497,13.153,25.515,56.026,,4.324,4.566,5.85,8.866,14.625,27.598,51.49
MoonEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Ours(Token Comm),5.228,6.443,8.751,13.888,25.205,46.455,91.663,,0.739,1.174,0.925,1.206,1.644,2.135,3.674,,2.454,2.821,3.752,5.769,11.127,19.809,38.574,,2.057,2.516,4.072,6.887,12.822,23.7,50.187
2 Ours(expert balance + Routing),7.634,8.323,10.149,13.678,21.674,37.622,67.863,,1.228,1.362,1.732,1.688,2.338,3.034,3.835,,4.629,4.877,5.578,7.258,10.831,18.405,32.936,,1.779,2.042,2.882,4.609,8.637,16.114,31.118
1+2,5.354,5.946,7.171,10.368,17.42,31.572,59.208,,1.01,1.033,1.193,1.366,1.881,3.126,4.193,,2.397,2.63,3.117,4.33,7.616,13.814,25.811,,1.988,2.288,2.901,4.653,8.102,15.071,28.883
1+2 s2 (always-solve+swap),6.254,6.946,8.529,11.136,18.003,32.631,60.02,,1.384,1.404,1.752,1.834,2.356,3.753,5.637,,2.407,2.599,3.156,4.364,7.383,13.513,25.601,,1.905,2.234,2.843,4.505,8.054,15.163,28.474
1+2 (direct wire),5.612,8.104,13.278,23.79,44.289,85.943,166.884,,1.513,1.516,1.776,2,2.538,3.978,6.548,,2.497,3.745,6.411,11.726,22.292,43.717,84.792,,1.715,2.889,5.188,10.077,19.353,38.623,75.911
1+2 + expert dispatch overlap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

# === Kimi K2 | 8n ===
arm,total_b1,total_b2,total_b4,total_b8,total_b16,total_b32,total_b64,,plan_b1,plan_b2,plan_b4,plan_b8,plan_b16,plan_b32,plan_b64,,layer0_b1,layer0_b2,layer0_b4,layer0_b8,layer0_b16,layer0_b32,layer0_b64,,layer1_b1,layer1_b2,layer1_b4,layer1_b8,layer1_b16,layer1_b32,layer1_b64
Torch + GEMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST + GEMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comet,6.801,7.963,10.695,16.582,30.338,57.296,115.961,,0.469,0.536,0.589,0.626,0.954,1.364,1.933,,2.793,3.229,4.491,7.273,13.526,26.492,55.663,,3.446,4.174,5.448,8.694,15.835,29.362,57.297
MoonEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Ours(Token Comm),5.596,7.008,9.793,13.994,23.625,42.784,79.699,,0.762,1.106,1.122,1.27,1.494,1.717,2.451,,2.604,3.04,4.144,6.136,10.823,19.961,37.146,,2.246,2.866,4.62,6.675,11.382,21.076,40.848
2 Ours(expert balance + Routing),8.073,8.762,10.723,14.578,23.345,41.687,76.493,,1.255,1.275,1.46,1.564,1.666,2.355,3.01,,4.839,5.161,6.02,7.591,11.3,20.157,37.143,,2.004,2.322,3.164,5.447,10.213,18.873,36.431
1+2,5.684,6.567,8.416,12.395,19.428,34.283,62.456,,0.922,0.977,1.235,1.151,1.695,2.24,3.582,,2.598,2.951,3.623,5.051,8.445,15.074,27.455,,2.169,2.583,3.626,6.123,9.275,17.421,32.312
1+2 s2 (always-solve+swap),7.084,7.822,9.701,13.284,20.985,35.149,64.512,,1.666,1.515,1.615,1.394,2.169,2.902,4.548,,2.638,3.023,3.614,5.019,8.445,14.424,27.717,,2.177,2.595,3.783,6.132,9.592,16.892,32.404
1+2 (direct wire),6.13,8.397,13.774,23.146,43.424,82.368,159.59,,1.586,1.491,1.693,1.636,2.385,3.211,4.479,,2.751,3.86,6.477,11.181,21.628,41.46,80.29,,1.987,3.023,5.707,9.988,19.68,37.669,75.055
1+2 + expert dispatch overlap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

# === Qwen 3 | 16n ===
arm,total_b1,total_b2,total_b4,total_b8,total_b16,total_b32,total_b64,,plan_b1,plan_b2,plan_b4,plan_b8,plan_b16,plan_b32,plan_b64,,layer0_b1,layer0_b2,layer0_b4,layer0_b8,layer0_b16,layer0_b32,layer0_b64,,layer1_b1,layer1_b2,layer1_b4,layer1_b8,layer1_b16,layer1_b32,layer1_b64
Torch + GEMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST + GEMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comet,16.954,19.083,24.322,34.897,62.935,118.135,219.244,,1.019,1.111,1.308,1.632,1.978,3.053,4.69,,5.759,6.884,9.359,14.516,27.687,52.886,98.787,,10.105,11.072,13.567,18.818,33.168,61.986,117.578
MoonEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPLB,8.297,11.633,17.62,30.506,57.855,114.12,217.876,,3.351,3.43,3.457,4.594,6.747,10.462,18.259,,3.14,4.928,8.349,14.832,28.14,58.063,108.885,,2.045,3.512,6.121,11.753,22.978,46.039,92.103
EPIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Ours(Token Comm),12.359,13.141,15.947,22.885,39.265,71.333,130.379,,1.263,1.268,1.554,2.282,2.772,4.475,6.695,,6.655,6.952,7.935,10.537,18.02,31.653,58.789,,4.49,5.12,6.514,10.352,18.804,35.546,63.452
2 Ours(expert balance + Routing),15.234,16.144,17.41,21.625,31.182,48.885,92.865,,2.14,1.999,1.928,2.586,3.495,4.826,7.62,,9.157,9.591,10.245,12.043,16.353,25.43,45.755,,4.209,4.472,5.035,7.139,11.575,19.198,39.273
1+2,12.332,13.021,14.684,17.628,26.056,44.256,76.796,,1.868,1.798,2.059,2.329,3.194,5.38,8.726,,6.549,6.832,7.543,8.567,12.175,19.453,35.049,,4.283,4.54,5.129,6.856,10.923,19.493,34.158
1+2 s2 (always-solve+swap),13.434,14.154,15.669,18.984,26.475,44.437,79.063,,1.876,1.815,2.332,3.208,3.635,6.477,10.169,,6.625,7.002,7.527,8.726,11.865,19.315,35.234,,4.304,4.659,5.223,6.691,10.479,17.929,32.413
1+2 (direct wire),6.825,9.96,16.417,28.703,54.702,104.196,196.718,,1.6,1.777,2.523,3.359,5.053,7.308,12.968,,3.251,4.944,8.114,14.445,28.507,54.921,101.857,,1.999,3.194,6.004,11.12,21.806,41.75,82.994
1+2 + expert dispatch overlap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

# === Kimi K2 | 16n ===
