# Figure tables generated from docs/handoff/18_authentic_l01_results_tidy.csv
# See figure_tables.py docstring for layout/conventions.

# === Qwen 3 | 4n ===
arm,total_b1,total_b2,total_b4,total_b8,total_b16,total_b32,total_b64,,plan_b1,plan_b2,plan_b4,plan_b8,plan_b16,plan_b32,plan_b64,,layer0_b1,layer0_b2,layer0_b4,layer0_b8,layer0_b16,layer0_b32,layer0_b64,,layer1_b1,layer1_b2,layer1_b4,layer1_b8,layer1_b16,layer1_b32,layer1_b64
Torch + GEMM,4.349,5.191,7.89,13.505,24.542,48.674,93.984,,0.521,0.548,0.601,0.635,0.731,1.066,1.518,,1.523,1.52,1.717,3.122,6.056,11.526,20.867,,2.314,3.16,5.593,9.595,17.79,36.043,72.182
FAST + GEMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comet,4.457,4.901,5.932,8.533,15.018,27.825,54.94,,0.443,0.415,0.461,0.611,0.703,0.938,1.475,,1.333,1.666,2.351,3.696,6.702,12.531,23.932,,2.686,2.818,3.129,4.196,7.713,14.368,28.385
MoonEP,9.526,12.346,15.667,18.606,38.005,61.868,117.384,,1.908,1.926,1.917,2.062,2.07,2.339,2.649,,4.826,4.482,5.792,8.274,16.035,30.037,56.553,,3.021,6.021,7.936,8.342,20.056,29.663,58.386
EPLB,6.437,8.507,12.49,20.274,35.536,66.972,133.057,,3.173,3.157,3.166,3.368,3.617,4.006,5.967,,1.935,2.798,4.825,8.69,16.169,31.645,62.918,,1.496,2.724,4.566,8.578,16.124,31.352,64.533
EPIC,6.981,7.801,9.458,13.019,20.196,36.181,68.583,,2.692,2.731,2.723,2.765,2.819,3.695,5.592,,3.384,3.759,4.55,6.026,9.168,16.767,32.036,,0.991,1.382,2.301,4.273,8.177,15.62,31.089
1 Ours(Token Comm),3.193,3.907,5.409,8.654,15.531,28.138,56.269,,0.834,0.907,1.147,1.085,1.509,1.674,2.67,,1.192,1.409,2,3.33,6.378,11.7,23.23,,1.174,1.522,2.296,4.187,7.721,14.577,30.548
2 Ours(expert balance + Routing),5.309,6.081,7.554,10.811,17.466,31.741,60.813,,1.165,1.169,1.31,1.446,1.57,2.005,3.489,,3.236,3.539,4.107,5.361,8.655,15.877,28.731,,0.961,1.326,2.159,4.029,7.131,13.828,29.004
1+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1+2 + expert dispatch overlap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

# === Kimi K2 | 4n ===
arm,total_b1,total_b2,total_b4,total_b8,total_b16,total_b32,total_b64,,plan_b1,plan_b2,plan_b4,plan_b8,plan_b16,plan_b32,plan_b64,,layer0_b1,layer0_b2,layer0_b4,layer0_b8,layer0_b16,layer0_b32,layer0_b64,,layer1_b1,layer1_b2,layer1_b4,layer1_b8,layer1_b16,layer1_b32,layer1_b64
Torch + GEMM,10.005,10.301,12.028,15.383,25.402,47.555,87.545,,0.575,0.545,0.579,0.592,0.78,0.931,1.101,,3.983,3.856,3.929,4.157,7.08,13.203,23.376,,5.425,5.939,7.525,10.774,17.734,33.371,63.006
FAST + GEMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comet,4.037,4.722,6.257,9.049,16.286,31.509,63.722,,0.431,0.4,0.464,0.498,0.738,0.741,1.469,,1.747,2.067,2.772,4.249,7.646,15.241,30.413,,1.814,2.237,3.078,4.35,7.807,15.227,31.709
MoonEP,14.654,18.562,24.449,33.987,43.796,61.3,117.942,,1.938,2.096,1.962,2.051,2.06,2.063,3.224,,5.691,9.233,12.941,13.139,16.958,33.506,59.266,,7.136,7.413,9.937,18.826,25.121,25.506,56.381
EPLB,7.937,9.612,13.916,21.759,37.301,67.953,131.3,,3.303,3.193,3.503,3.275,3.32,3.39,4.61,,2.718,3.473,5.428,9.239,16.499,31.536,62.22,,2.14,3.038,5.507,9.382,17.642,32.846,64.926
EPIC,8.042,8.562,10.405,13.848,20.986,35.474,66.537,,2.693,2.704,2.726,2.838,2.838,2.886,3.975,,3.857,4.115,4.894,6.397,9.59,16.645,30.825,,1.552,1.8,2.895,4.637,8.626,16.025,32.154
1 Ours(Token Comm),5.545,5.876,7.056,9.923,16.714,29.752,55.303,,0.879,0.897,0.919,0.964,1.114,1.598,1.955,,1.679,1.949,2.56,3.937,7.337,13.222,24.372,,2.854,3.043,3.593,4.934,8.233,14.805,28.37
2 Ours(expert balance + Routing),6.397,7.078,8.754,12.22,19.177,34.089,63.6,,1.155,1.216,1.234,1.404,1.469,1.637,2.249,,3.755,4.029,4.78,6.069,9.006,15.777,28.697,,1.514,1.845,2.769,4.612,8.749,16.574,32.808
1+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1+2 + expert dispatch overlap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

# === Qwen 3 | 8n ===
arm,total_b1,total_b2,total_b4,total_b8,total_b16,total_b32,total_b64,,plan_b1,plan_b2,plan_b4,plan_b8,plan_b16,plan_b32,plan_b64,,layer0_b1,layer0_b2,layer0_b4,layer0_b8,layer0_b16,layer0_b32,layer0_b64,,layer1_b1,layer1_b2,layer1_b4,layer1_b8,layer1_b16,layer1_b32,layer1_b64
Torch + GEMM,4.897,7.08,11.059,20.303,37.955,74.521,,,0.587,0.623,0.683,1.341,1.066,1.706,,,1.368,1.703,2.771,5.483,9.56,18.946,,,2.593,4.699,7.667,13.783,27.497,54.085,
FAST + GEMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comet,7.697,8.186,10.632,16.502,28.341,52.312,100.247,,0.868,0.52,0.823,0.791,0.986,1.492,2.291,,2.557,3.033,4.232,6.886,12.646,23.553,45.639,,4.215,4.623,5.635,8.621,14.395,27.611,52.44
MoonEP,12.293,12.266,16.341,23.554,39.839,80.803,154.878,,1.968,1.976,1.972,2.113,2.311,2.82,4.188,,8.151,4.5,7.693,12.053,21.786,41.565,77.068,,2.602,6.025,6.68,9.617,16.629,36.873,74.102
EPLB,7.301,9.712,14.379,24.996,44.633,87.854,171.708,,3.176,3.217,3.448,3.411,4.442,5.863,9.805,,2.404,3.578,6.158,11.502,20.935,42.392,84.9,,1.86,3.062,5.271,10.344,19.648,40.059,77.185
EPIC,9.317,10.428,12.677,17.688,29.507,53.912,104.426,,2.728,2.747,2.74,2.797,3.722,5.532,9.488,,4.877,5.4,6.284,8.657,13.264,23.964,45.288,,1.831,2.451,3.743,6.495,12.55,24.869,49.785
1 Ours(Token Comm),5.629,6.667,8.866,14.318,25.018,47.617,92.346,,0.981,1.326,1.101,1.337,1.61,2.349,3.671,,2.53,2.843,3.778,5.819,10.435,19.708,40.133,,2.111,2.657,4.032,7.167,13.031,25.672,48.317
2 Ours(expert balance + Routing),7.834,8.844,10.365,14.796,22.353,40.33,75.137,,1.293,1.402,1.684,1.871,2.206,2.726,4.411,,4.844,5.137,5.845,7.542,11.149,20.197,36.363,,1.754,2.303,2.853,5.291,9.122,17.548,35.85
1+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1+2 + expert dispatch overlap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

# === Kimi K2 | 8n ===
arm,total_b1,total_b2,total_b4,total_b8,total_b16,total_b32,total_b64,,plan_b1,plan_b2,plan_b4,plan_b8,plan_b16,plan_b32,plan_b64,,layer0_b1,layer0_b2,layer0_b4,layer0_b8,layer0_b16,layer0_b32,layer0_b64,,layer1_b1,layer1_b2,layer1_b4,layer1_b8,layer1_b16,layer1_b32,layer1_b64
Torch + GEMM,7.155,8.282,12.627,20.421,36.902,73.368,,,0.608,0.625,0.894,0.797,0.9,1.161,,,2.043,2.179,3.668,5.546,9.432,21.632,,,4.574,5.424,8.606,14.277,26.116,50.628,
FAST + GEMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comet,6.773,7.981,10.899,16.683,29.9,56.946,113.603,,0.493,0.491,0.544,0.707,0.903,1.305,1.88,,2.789,3.285,4.63,7.295,13.119,25.687,51.555,,3.498,4.201,5.752,8.807,15.779,30.186,60.091
MoonEP,17.618,16.718,26.455,32.85,50.532,80.689,162.55,,2.459,2.041,2.065,2.021,2.082,2.508,3.315,,7.617,6.784,11.156,15.988,23.656,44.383,83.143,,9.613,8.078,13.503,15.277,24.454,34.106,76.893
