study,arm,metric,n_reps,total_ms,sd
loo,moonep,it0,1,129.74,
loo,moonep,rest_mean,1,130.91,
loo,comet,it0,5,64.57,1.73
loo,comet,rest_mean,5,64.33,0.39
loo,slipstream_comm_only,it0,5,59.24,1.0
loo,slipstream_comm_only,rest_mean,5,58.6,0.79
loo,placement_swap_seq,it0,5,74.91,14.19
loo,placement_swap_seq,rest_mean,5,57.82,0.6
loo,full_stack_seq,it0,5,68.92,1.39
loo,full_stack_seq,rest_mean,5,56.92,0.44
loo,full_stack_ovl,it0,5,61.37,0.69
loo,full_stack_ovl,rest_mean,5,56.66,0.17
matched,moonep,it0,1,129.19,
matched,moonep,rest_mean,1,125.67,
matched,comet,it0,5,64.38,1.95
matched,comet,rest_mean,5,64.36,0.99
matched,slipstream_comm_only,it0,5,58.65,1.17
matched,slipstream_comm_only,rest_mean,5,58.95,0.52
matched,placement_swap_seq,it0,5,52.9,1.89
matched,placement_swap_seq,rest_mean,5,47.32,0.4
matched,full_stack_seq,it0,5,53.01,2.37
matched,full_stack_seq,rest_mean,5,47.26,0.29
matched,full_stack_ovl,it0,5,50.78,1.49
matched,full_stack_ovl,rest_mean,5,47.41,0.18
