nodes,model,row_id,budget_mib,C,total_ms,plan_ms,loccap_twin_ms,d_vs_twin_pct,twin_src,figure_ms,d_vs_figure_pct,arm_variant,capsule,cell_id,stat,kernel
2,K2,ours12,1,1/2,4.206,0.559,4.289,-1.9,,,,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-082011_perlmutter_14cdb701,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
2,K2,ours12,1,1/4,4.202,0.558,4.289,-2.0,,,,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-082011_perlmutter_14cdb701,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
4,K2,ours12,1,1/16,4.053,0.615,4.023,0.7,,3.998,1.4,ours_l01_s1_pv2_r2_pv3c,20260915-055811_perlmutter_a6e6d1d6,ours_l01_s1_pv2_r2_pv3c_trace-610042_b1_k8_isolated,iter_max_median,campaign
4,K2,ours12,1,1/2,4.089,0.636,4.023,1.6,,3.998,2.3,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-055811_perlmutter_a6e6d1d6,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
4,K2,ours12,1,1/4,4.083,0.63,4.023,1.5,,3.998,2.1,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-055811_perlmutter_a6e6d1d6,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
4,K2,ours12,1,1/4,4.031,0.591,4.076,-1.1,,3.998,0.8,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-221148_perlmutter_50d3edf7,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,v4
4,K2,ours12,4,1/16,6.092,0.651,6.287,-3.1,,6.05,0.7,ours_l01_s1_pv2_r2_pv3c,20260915-053358_perlmutter_6415d100,ours_l01_s1_pv2_r2_pv3c_trace-610042_b4_k8_isolated,iter_max_median,campaign
4,K2,ours12,4,1/2,5.997,0.689,6.287,-4.6,,6.05,-0.9,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-053358_perlmutter_6415d100,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b4_k8_isolated,iter_max_median,campaign
4,K2,ours12,4,1/4,6.106,0.669,6.287,-2.9,,6.05,0.9,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-053358_perlmutter_6415d100,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b4_k8_isolated,iter_max_median,campaign
4,K2,ours12,4,1/4,6.105,0.633,5.939,2.8,,6.05,0.9,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-221148_perlmutter_50d3edf7,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b4_k8_isolated,iter_max_median,v4
4,K2,ours12,16,1/16,14.574,0.799,14.695,-0.8,,14.411,1.1,ours_l01_s1_pv2_r2_pv3c,20260915-053358_perlmutter_6415d100,ours_l01_s1_pv2_r2_pv3c_trace-610042_b16_k8_isolated,iter_max_median,campaign
4,K2,ours12,16,1/2,14.67,0.799,14.695,-0.2,,14.411,1.8,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-053358_perlmutter_6415d100,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b16_k8_isolated,iter_max_median,campaign
4,K2,ours12,16,1/4,14.468,0.803,14.695,-1.5,,14.411,0.4,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-053358_perlmutter_6415d100,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b16_k8_isolated,iter_max_median,campaign
4,K2,ours12,16,1/4,14.269,0.768,14.421,-1.1,,14.411,-1.0,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-221148_perlmutter_50d3edf7,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b16_k8_isolated,iter_max_median,v4
4,K2,ours12_dispatch,1,1/4,4.748,0.678,5.0,-5.0,,6.824,-30.4,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,20260915-061546_perlmutter_7b4ba3ec,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
4,K2,ours12_dispatch,4,1/4,6.787,0.802,6.9,-1.6,,8.322,-18.4,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,20260915-061546_perlmutter_7b4ba3ec,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-610042_b4_k8_isolated,iter_max_median,campaign
4,K2,ours12_dispatch,16,1/4,15.31,0.925,15.344,-0.2,,16.123,-5.0,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,20260915-061546_perlmutter_7b4ba3ec,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-610042_b16_k8_isolated,iter_max_median,campaign
4,K2,ours2_direct,1,1/4,6.084,1.229,6.201,-1.9,,,,ours_l01_s1_pv2_r2_dwire_pv3c_eps025,20260915-061546_perlmutter_7b4ba3ec,ours_l01_s1_pv2_r2_dwire_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
4,K2,ours2_direct,4,1/4,12.135,1.235,12.361,-1.8,,,,ours_l01_s1_pv2_r2_dwire_pv3c_eps025,20260915-061546_perlmutter_7b4ba3ec,ours_l01_s1_pv2_r2_dwire_pv3c_eps025_trace-610042_b4_k8_isolated,iter_max_median,campaign
4,K2,ours2_direct,16,1/4,36.515,1.319,36.359,0.4,,,,ours_l01_s1_pv2_r2_dwire_pv3c_eps025,20260915-061546_perlmutter_7b4ba3ec,ours_l01_s1_pv2_r2_dwire_pv3c_eps025_trace-610042_b16_k8_isolated,iter_max_median,campaign
4,K2,ours2_nooverlap,1,1/4,6.377,0.98,6.335,0.7,,6.38,-0.1,llc_l01_s1_pv2_pv3c_eps025,20260915-065911_perlmutter_c841fd77,llc_l01_s1_pv2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
4,K2,ours2_nooverlap,4,1/4,8.448,0.904,8.591,-1.7,,8.52,-0.8,llc_l01_s1_pv2_pv3c_eps025,20260915-065911_perlmutter_c841fd77,llc_l01_s1_pv2_pv3c_eps025_trace-610042_b4_k8_isolated,iter_max_median,campaign
4,K2,ours2_nooverlap,16,1/4,18.606,1.166,18.746,-0.7,,18.269,1.8,llc_l01_s1_pv2_pv3c_eps025,20260915-065911_perlmutter_c841fd77,llc_l01_s1_pv2_pv3c_eps025_trace-610042_b16_k8_isolated,iter_max_median,campaign
4,Qwen,ours12,1,1/16,3.077,0.602,3.043,1.1,,3.019,1.9,ours_l01_s1_pv2_r2_pv3c,20260915-060043_perlmutter_00171cc8,ours_l01_s1_pv2_r2_pv3c_trace-a2e8ab_b1_k8_isolated,iter_max_median,campaign
4,Qwen,ours12,1,1/2,3.1,0.659,3.043,1.9,,3.019,2.7,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-060043_perlmutter_00171cc8,ours_l01_s1_pv2_r2_pv3c_eps05_trace-a2e8ab_b1_k8_isolated,iter_max_median,campaign
4,Qwen,ours12,1,1/4,3.082,0.655,3.043,1.3,,3.019,2.1,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-060043_perlmutter_00171cc8,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,iter_max_median,campaign
4,Qwen,ours12,1,1/4,3.028,0.61,3.068,-1.3,,3.019,0.3,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-221523_perlmutter_8876f922,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,iter_max_median,v4
4,Qwen,ours12,4,1/16,4.774,0.69,4.753,0.4,,4.712,1.3,ours_l01_s1_pv2_r2_pv3c,20260915-054236_perlmutter_38036670,ours_l01_s1_pv2_r2_pv3c_trace-a2e8ab_b4_k8_isolated,iter_max_median,campaign
4,Qwen,ours12,4,1/2,4.662,0.741,4.753,-1.9,,4.712,-1.1,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-054236_perlmutter_38036670,ours_l01_s1_pv2_r2_pv3c_eps05_trace-a2e8ab_b4_k8_isolated,iter_max_median,campaign
4,Qwen,ours12,4,1/4,4.634,0.733,4.753,-2.5,,4.712,-1.7,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-054236_perlmutter_38036670,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,iter_max_median,campaign
4,Qwen,ours12,4,1/4,4.67,0.695,4.648,0.5,,4.712,-0.9,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-221523_perlmutter_8876f922,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,iter_max_median,v4
4,Qwen,ours12,16,1/16,12.368,0.891,12.123,2.0,,11.716,5.6,ours_l01_s1_pv2_r2_pv3c,20260915-054236_perlmutter_38036670,ours_l01_s1_pv2_r2_pv3c_trace-a2e8ab_b16_k8_isolated,iter_max_median,campaign
4,Qwen,ours12,16,1/2,12.275,0.949,12.123,1.3,,11.716,4.8,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-054236_perlmutter_38036670,ours_l01_s1_pv2_r2_pv3c_eps05_trace-a2e8ab_b16_k8_isolated,iter_max_median,campaign
4,Qwen,ours12,16,1/4,12.072,1.056,12.123,-0.4,,11.716,3.0,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-054236_perlmutter_38036670,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,iter_max_median,campaign
4,Qwen,ours12,16,1/4,11.808,0.876,11.816,-0.1,,11.716,0.8,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-221523_perlmutter_8876f922,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,iter_max_median,v4
4,Qwen,ours12_dispatch,1,1/4,3.728,0.651,3.892,-4.2,,4.655,-19.9,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,20260915-062223_perlmutter_70622cd1,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,iter_max_median,campaign
4,Qwen,ours12_dispatch,4,1/4,5.34,0.773,5.489,-2.7,,6.079,-12.2,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,20260915-062223_perlmutter_70622cd1,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,iter_max_median,campaign
4,Qwen,ours12_dispatch,16,1/4,12.665,1.027,12.776,-0.9,,13.36,-5.2,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,20260915-062223_perlmutter_70622cd1,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,iter_max_median,campaign
4,Qwen,ours2_direct,1,1/4,4.767,1.245,4.898,-2.7,,,,ours_l01_s1_pv2_r2_dwire_pv3c_eps025,20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,iter_max_median,campaign
4,Qwen,ours2_direct,4,1/4,10.421,1.291,10.44,-0.2,,,,ours_l01_s1_pv2_r2_dwire_pv3c_eps025,20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,iter_max_median,campaign
4,Qwen,ours2_direct,16,1/4,35.374,1.601,33.892,4.4,,,,ours_l01_s1_pv2_r2_dwire_pv3c_eps025,20260915-062223_perlmutter_70622cd1,ours_l01_s1_pv2_r2_dwire_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,iter_max_median,campaign
4,Qwen,ours2_nooverlap,1,1/4,5.197,0.852,5.216,-0.4,,5.354,-2.9,llc_l01_s1_pv2_pv3c_eps025,20260915-070138_perlmutter_199f8292,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,iter_max_median,campaign
4,Qwen,ours2_nooverlap,4,1/4,7.386,0.988,7.773,-5.0,,7.555,-2.2,llc_l01_s1_pv2_pv3c_eps025,20260915-070138_perlmutter_199f8292,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,iter_max_median,campaign
4,Qwen,ours2_nooverlap,16,1/4,17.535,1.289,17.089,2.6,,15.893,10.3,llc_l01_s1_pv2_pv3c_eps025,20260915-070138_perlmutter_199f8292,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,iter_max_median,campaign
8,K2,ours12,1,1/2,5.985,0.849,6.019,-0.6,,5.859,2.1,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,K2,ours12,1,1/2,6.003,0.832,5.997,0.1,,5.859,2.5,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-085521_perlmutter_03c90d2e,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,K2,ours12,1,1/4,5.954,0.792,6.019,-1.1,,5.859,1.6,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,K2,ours12,1,1/4,5.838,0.788,5.997,-2.7,,5.859,-0.4,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-085521_perlmutter_03c90d2e,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,K2,ours12,4,1/2,8.785,0.965,8.491,3.5,,8.371,4.9,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b4_k8_isolated,iter_max_median,campaign
8,K2,ours12,4,1/4,8.597,0.922,8.491,1.2,,8.371,2.7,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b4_k8_isolated,iter_max_median,campaign
8,K2,ours12,16,1/2,18.894,1.186,19.164,-1.4,,19.561,-3.4,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b16_k8_isolated,iter_max_median,campaign
8,K2,ours12,16,1/4,19.159,1.171,19.164,-0.0,,19.561,-2.1,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b16_k8_isolated,iter_max_median,campaign
