nodes,model,row_id,budget_mib,C,total_ms,plan_ms,loccap_twin_ms,d_vs_twin_pct,twin_src,figure_ms,d_vs_figure_pct,arm_variant,capsule,cell_id,stat,kernel
8,K2,ours12_dispatch,1,1/2,6.933,1.075,6.769,2.4,,8.943,-22.5,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05,20260915-084021_perlmutter_af0e914c,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,K2,ours12_dispatch,1,1/4,7.001,1.138,6.769,3.4,,8.943,-21.7,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,20260915-084021_perlmutter_af0e914c,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,K2,ours12_dispatch,4,1/2,9.384,1.135,9.513,-1.4,,10.449,-10.2,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05,20260915-084021_perlmutter_af0e914c,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05_trace-610042_b4_k8_isolated,iter_max_median,campaign
8,K2,ours12_dispatch,4,1/4,9.563,1.131,9.513,0.5,,10.449,-8.5,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,20260915-084021_perlmutter_af0e914c,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-610042_b4_k8_isolated,iter_max_median,campaign
8,K2,ours12_dispatch,16,1/2,19.806,1.335,20.327,-2.6,,21.457,-7.7,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05,20260915-084021_perlmutter_af0e914c,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05_trace-610042_b16_k8_isolated,iter_max_median,campaign
8,K2,ours12_dispatch,16,1/4,20.467,1.276,20.327,0.7,,21.457,-4.6,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,20260915-084021_perlmutter_af0e914c,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-610042_b16_k8_isolated,iter_max_median,campaign
8,K2,ours2_direct,1,1/2,6.19,1.225,6.261,-1.1,,,,ours_l01_s1_pv2_r2_dwire_pv3c_eps05,20260915-085521_perlmutter_03c90d2e,ours_l01_s1_pv2_r2_dwire_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,K2,ours2_direct,1,1/4,6.075,1.31,6.261,-3.0,,,,ours_l01_s1_pv2_r2_dwire_pv3c_eps025,20260915-085521_perlmutter_03c90d2e,ours_l01_s1_pv2_r2_dwire_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,K2,ours2_nooverlap,1,1/2,8.406,1.055,8.18,2.8,,8.286,1.4,llc_l01_s1_pv2_pv3c_eps05,20260915-084021_perlmutter_af0e914c,llc_l01_s1_pv2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,K2,ours2_nooverlap,1,1/2,8.271,1.027,8.358,-1.0,,8.286,-0.2,llc_l01_s1_pv2_pv3c_eps05,20260915-085958_perlmutter_2355d8b6,llc_l01_s1_pv2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,K2,ours2_nooverlap,1,1/4,8.338,0.992,8.358,-0.2,,8.286,0.6,llc_l01_s1_pv2_pv3c_eps025,20260915-085958_perlmutter_2355d8b6,llc_l01_s1_pv2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,K2,ours2_nooverlap,4,1/2,11.753,1.271,10.998,6.9,,11.101,5.9,llc_l01_s1_pv2_pv3c_eps05,20260915-084021_perlmutter_af0e914c,llc_l01_s1_pv2_pv3c_eps05_trace-610042_b4_k8_isolated,iter_max_median,campaign
8,K2,ours2_nooverlap,4,1/4,10.998,1.13,10.998,0.0,,11.101,-0.9,llc_l01_s1_pv2_pv3c_eps025,20260915-084021_perlmutter_af0e914c,llc_l01_s1_pv2_pv3c_eps025_trace-610042_b4_k8_isolated,iter_max_median,campaign
8,K2,ours2_nooverlap,16,1/2,23.997,1.478,23.994,0.0,,23.8,0.8,llc_l01_s1_pv2_pv3c_eps05,20260915-084021_perlmutter_af0e914c,llc_l01_s1_pv2_pv3c_eps05_trace-610042_b16_k8_isolated,iter_max_median,campaign
8,K2,ours2_nooverlap,16,1/4,24.79,1.459,23.994,3.3,,23.8,4.2,llc_l01_s1_pv2_pv3c_eps025,20260915-084021_perlmutter_af0e914c,llc_l01_s1_pv2_pv3c_eps025_trace-610042_b16_k8_isolated,iter_max_median,campaign
8,Qwen,ours12,1,1/2,5.245,0.878,5.296,-1.0,,5.409,-3.0,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-090203_perlmutter_294ed6a4,ours_l01_s1_pv2_r2_pv3c_eps05_trace-a2e8ab_b1_k8_isolated,iter_max_median,campaign
8,Qwen,ours12,1,1/4,5.269,0.824,5.296,-0.5,,5.409,-2.6,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-090203_perlmutter_294ed6a4,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,iter_max_median,campaign
8,Qwen,ours12,4,1/2,7.318,1.197,7.375,-0.8,,7.375,-0.8,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-090203_perlmutter_294ed6a4,ours_l01_s1_pv2_r2_pv3c_eps05_trace-a2e8ab_b4_k8_isolated,iter_max_median,campaign
8,Qwen,ours12,4,1/4,7.735,1.168,7.375,4.9,,7.375,4.9,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-090203_perlmutter_294ed6a4,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,iter_max_median,campaign
8,Qwen,ours12,16,1/2,16.531,1.415,17.517,-5.6,,17.18,-3.8,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-090203_perlmutter_294ed6a4,ours_l01_s1_pv2_r2_pv3c_eps05_trace-a2e8ab_b16_k8_isolated,iter_max_median,campaign
8,Qwen,ours12,16,1/4,16.742,1.394,17.517,-4.4,,17.18,-2.6,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-090203_perlmutter_294ed6a4,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,iter_max_median,campaign
8,Qwen,ours12_dispatch,1,1/2,6.071,0.954,6.373,-4.7,,6.851,-11.4,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05,20260915-090203_perlmutter_294ed6a4,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05_trace-a2e8ab_b1_k8_isolated,iter_max_median,campaign
8,Qwen,ours12_dispatch,1,1/4,6.111,0.918,6.373,-4.1,,6.851,-10.8,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,20260915-090203_perlmutter_294ed6a4,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,iter_max_median,campaign
8,Qwen,ours12_dispatch,4,1/2,7.932,1.139,8.497,-6.6,,10.097,-21.4,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05,20260915-090203_perlmutter_294ed6a4,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05_trace-a2e8ab_b4_k8_isolated,iter_max_median,campaign
8,Qwen,ours12_dispatch,4,1/4,8.087,1.105,8.497,-4.8,,10.097,-19.9,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,20260915-090203_perlmutter_294ed6a4,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,iter_max_median,campaign
8,Qwen,ours12_dispatch,16,1/2,17.196,1.576,18.602,-7.6,,19.555,-12.1,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05,20260915-090203_perlmutter_294ed6a4,ours_l01_s2_swap_force_p2p_r2_pv3c_eps05_trace-a2e8ab_b16_k8_isolated,iter_max_median,campaign
8,Qwen,ours12_dispatch,16,1/4,17.429,1.578,18.602,-6.3,,19.555,-10.9,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025,20260915-090203_perlmutter_294ed6a4,ours_l01_s2_swap_force_p2p_r2_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,iter_max_median,campaign
8,Qwen,ours2_nooverlap,1,1/2,7.794,1.06,7.743,0.7,,7.841,-0.6,llc_l01_s1_pv2_pv3c_eps05,20260915-090203_perlmutter_294ed6a4,llc_l01_s1_pv2_pv3c_eps05_trace-a2e8ab_b1_k8_isolated,iter_max_median,campaign
8,Qwen,ours2_nooverlap,1,1/4,7.501,1.025,7.743,-3.1,,7.841,-4.3,llc_l01_s1_pv2_pv3c_eps025,20260915-090203_perlmutter_294ed6a4,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,iter_max_median,campaign
8,Qwen,ours2_nooverlap,4,1/2,10.677,1.291,10.457,2.1,,10.303,3.6,llc_l01_s1_pv2_pv3c_eps05,20260915-090203_perlmutter_294ed6a4,llc_l01_s1_pv2_pv3c_eps05_trace-a2e8ab_b4_k8_isolated,iter_max_median,campaign
8,Qwen,ours2_nooverlap,4,1/4,10.41,1.247,10.457,-0.4,,10.303,1.0,llc_l01_s1_pv2_pv3c_eps025,20260915-090203_perlmutter_294ed6a4,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,iter_max_median,campaign
8,Qwen,ours2_nooverlap,16,1/2,23.003,1.839,23.496,-2.1,,21.92,4.9,llc_l01_s1_pv2_pv3c_eps05,20260915-090203_perlmutter_294ed6a4,llc_l01_s1_pv2_pv3c_eps05_trace-a2e8ab_b16_k8_isolated,iter_max_median,campaign
8,Qwen,ours2_nooverlap,16,1/4,23.349,1.906,23.496,-0.6,,21.92,6.5,llc_l01_s1_pv2_pv3c_eps025,20260915-090203_perlmutter_294ed6a4,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,iter_max_median,campaign
16,K2,ours12,1,1/2,13.211,1.384,12.861,2.7,,12.613,4.7,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
16,K2,ours12,1,1/2,13.02,1.526,12.939,0.6,,12.613,3.2,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
16,K2,ours12,1,1/2,12.649,1.008,12.611,0.3,,12.613,0.3,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-175557_perlmutter_2b8026c7,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,v4
16,K2,ours12,1,1/2,12.703,1.023,12.814,-0.9,,12.613,0.7,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-183514_perlmutter_2a5a4f27,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,v4
16,K2,ours12,1,1/2,12.53,0.896,13.121,-4.5,,12.613,-0.7,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-184912_perlmutter_397e1892,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,v4
16,K2,ours12,1,1/4,13.135,1.25,12.861,2.1,,12.613,4.1,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
16,K2,ours12,1,1/4,13.079,1.247,12.939,1.1,,12.613,3.7,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
16,K2,ours12,4,1/2,15.657,1.469,15.569,0.6,,15.626,0.2,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b4_k8_isolated,iter_max_median,campaign
16,K2,ours12,4,1/2,15.175,1.081,15.416,-1.6,,15.626,-2.9,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-175557_perlmutter_2b8026c7,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b4_k8_isolated,iter_max_median,v4
16,K2,ours12,4,1/2,15.506,1.08,15.493,0.1,,15.626,-0.8,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-183514_perlmutter_2a5a4f27,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b4_k8_isolated,iter_max_median,v4
16,K2,ours12,4,1/4,16.191,1.476,15.569,4.0,,15.626,3.6,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b4_k8_isolated,iter_max_median,campaign
16,K2,ours12,16,1,28.755,2.079,28.266,1.7,,27.916,3.0,ours_l01_s1_pv2_r2_pv3c_eps1,20260915-102031_perlmutter_5d500853,ours_l01_s1_pv2_r2_pv3c_eps1_trace-610042_b16_k8_isolated,iter_max_median,campaign
