nodes,model,row_id,row_label,budget_mib,total_ms,recorded_ms,stat,arm_variant,impl,capsule,cell_id,branch,git_sha,flag
4,Qwen,epic,EPIC,16,20.196,20.20,iter_max_median,epic_l01_hc_m1,epic,20260824-161146_perlmutter_c8dfe3ed,epic_l01_hc_m1_trace-a2e8ab_b16_k8_isolated,main,fc8e47070,
4,Qwen,epic,EPIC,64,68.583,68.58,iter_max_median,epic_l01_hc_m1,epic,20260824-161146_perlmutter_c8dfe3ed,epic_l01_hc_m1_trace-a2e8ab_b64_k8_isolated,main,fc8e47070,
4,Qwen,ours1_tokencomm,1Ours(Token Comm),1,3.085,3.09,iter_max_median,l01_slipstream,flux,20260829-145257_perlmutter_707187f7,l01_slipstream_trace-a2e8ab_b1_k8_isolated,main,eb57d66ad,
4,Qwen,ours1_tokencomm,1Ours(Token Comm),2,4.000,4.00,iter_max_median,l01_slipstream,flux,20260829-145257_perlmutter_707187f7,l01_slipstream_trace-a2e8ab_b2_k8_isolated,main,eb57d66ad,
4,Qwen,ours1_tokencomm,1Ours(Token Comm),4,5.231,5.23,iter_max_median,l01_slipstream,flux,20260829-145257_perlmutter_707187f7,l01_slipstream_trace-a2e8ab_b4_k8_isolated,main,eb57d66ad,
4,Qwen,ours1_tokencomm,1Ours(Token Comm),16,15.253,15.25,iter_max_median,l01_slipstream,flux,20260829-145257_perlmutter_707187f7,l01_slipstream_trace-a2e8ab_b16_k8_isolated,main,eb57d66ad,
4,Qwen,ours1_tokencomm,1Ours(Token Comm),64,55.045,55.05,iter_max_median,l01_slipstream,flux,20260829-145257_perlmutter_707187f7,l01_slipstream_trace-a2e8ab_b64_k8_isolated,main,eb57d66ad,
4,Qwen,ours2_nooverlap,2Ours(expert balance + Routing + hier a2av (no overlap)),1,5.197,5.197,iter_max_median,llc_l01_s1_pv2_pv3c_eps025,epic,20260915-070138,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=campaign n_capsules=1 d_vs_loccap_twin=-0.4%
4,Qwen,ours2_nooverlap,2Ours(expert balance + Routing + hier a2av (no overlap)),2,5.971,5.97,iter_max_mean,llc_l01_s1_pv2,epic,20260827-135642_perlmutter_1de5f849,llc_l01_s1_pv2_trace-a2e8ab_b2_k8_isolated,main,57330291b,"pre_pv3c LocCap router, budget/topology not plotted, NOT re-measured"
4,Qwen,ours2_nooverlap,2Ours(expert balance + Routing + hier a2av (no overlap)),4,7.386,7.386,iter_max_median,llc_l01_s1_pv2_pv3c_eps025,epic,20260915-070138,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=campaign n_capsules=1 d_vs_loccap_twin=-5.0%
4,Qwen,ours2_nooverlap,2Ours(expert balance + Routing + hier a2av (no overlap)),16,17.535,17.535,iter_max_median,llc_l01_s1_pv2_pv3c_eps025,epic,20260915-070138,llc_l01_s1_pv2_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=campaign n_capsules=1 d_vs_loccap_twin=2.6%
4,Qwen,ours2_nooverlap,2Ours(expert balance + Routing + hier a2av (no overlap)),64,55.468,55.47,iter_max_median,llc_l01_s1_pv2,epic,20260827-135927_perlmutter_cfef9ee1,llc_l01_s1_pv2_trace-a2e8ab_b64_k8_isolated,main,57330291b,"pre_pv3c LocCap router, budget/topology not plotted, NOT re-measured"
4,Qwen,ours12,1+2,1,3.028,3.028,iter_max_median,ours_l01_s1_pv2_r2_pv3c_eps025,ours,20260915-221523,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b1_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=v4 n_capsules=1 d_vs_loccap_twin=-1.3%
4,Qwen,ours12,1+2,2,3.785,3.79,iter_max_median,ours_l01_s1_pv2_r2,ours,20260829-145517_perlmutter_511b512c,ours_l01_s1_pv2_r2_trace-a2e8ab_b2_k8_isolated,main,eb57d66ad,"pre_pv3c LocCap router, budget/topology not plotted, NOT re-measured"
4,Qwen,ours12,1+2,4,4.67,4.67,iter_max_median,ours_l01_s1_pv2_r2_pv3c_eps025,ours,20260915-221523,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b4_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=v4 n_capsules=1 d_vs_loccap_twin=0.5%
4,Qwen,ours12,1+2,16,11.808,11.808,iter_max_median,ours_l01_s1_pv2_r2_pv3c_eps025,ours,20260915-221523,ours_l01_s1_pv2_r2_pv3c_eps025_trace-a2e8ab_b16_k8_isolated,pv3,556843e,pv3c C=1/4 kernel=v4 n_capsules=1 d_vs_loccap_twin=-0.1%
