capsule,scenario,protocol,dwell,arm,arm_order,variant,topic,eval_pool,mean_ms,median_ms,sd_ms,n_iters,iters,binary,cell_id
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,1 token-comm overlap,1,l01_slipstream,hsPsych,hsPsych,54.914,54.854,1.686,16,16,505e4bed/4f66d1c4,l01_slipstream_trace-27e29c_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,1 token-comm overlap,1,l01_slipstream,hsWorldHist,hsWorldHist,52.224,51.944,1.218,16,16,505e4bed/4f66d1c4,l01_slipstream_trace-16cdac_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,1 token-comm overlap,1,l01_slipstream,lcb,lcb,54.782,55.173,1.472,16,16,505e4bed/4f66d1c4,l01_slipstream_trace-245f17_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,1 token-comm overlap,1,l01_slipstream,philosophy,philosophy,51.984,51.804,1.280,16,16,505e4bed/4f66d1c4,l01_slipstream_trace-dc9a78_b64_k8_isolated
20260902-150105_perlmutter_f3214016,S-A seen-8,reset-proxy (per-topic cell),0,1 token-comm overlap,1,l01_slipstream,proLaw,proLaw,58.756,58.934,1.481,16,16,505e4bed/4f66d1c4,l01_slipstream_trace-0712af_b64_k8_isolated
20260903-021242_perlmutter_62d5f12f,S-A seen-8,reset-proxy (per-topic cell),0,1 token-comm overlap,1,l01_slipstream,proLaw,proLaw,58.151,57.683,1.412,16,16,505e4bed/4f66d1c4,l01_slipstream_trace-0712af_b64_k8_isolated
20260903-022101_perlmutter_f6f23656,S-A seen-8,reset-proxy (per-topic cell),0,1 token-comm overlap,1,l01_slipstream,proLaw,proLaw,58.882,58.972,1.088,16,16,505e4bed/4f66d1c4,l01_slipstream_trace-0712af_b64_k8_isolated
20260903-022916_perlmutter_106bd039,S-A seen-8,reset-proxy (per-topic cell),0,1 token-comm overlap,1,l01_slipstream,proLaw,proLaw,58.655,58.476,1.516,16,16,505e4bed/4f66d1c4,l01_slipstream_trace-0712af_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,clinical,clinical,58.434,58.038,1.242,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-356bcd_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,clinical,clinical,59.195,59.054,1.751,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-356bcd_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,clinical,clinical,57.540,57.662,1.348,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-356bcd_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,clinical,clinical,58.049,57.980,1.054,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-356bcd_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,colmath,colmath,55.630,55.129,1.306,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-c16ab5_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,colmath,colmath,56.026,55.909,1.075,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-c16ab5_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,colmath,colmath,56.069,56.044,1.119,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-c16ab5_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,colmath,colmath,56.030,56.108,1.405,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-c16ab5_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,elecEng,elecEng,55.675,55.570,1.261,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-931acd_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,elecEng,elecEng,56.230,56.177,1.199,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-931acd_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,elecEng,elecEng,56.062,55.982,1.446,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-931acd_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,elecEng,elecEng,56.280,56.410,1.003,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-931acd_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,hsPsych,hsPsych,56.900,57.013,1.288,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-27e29c_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,hsPsych,hsPsych,56.551,56.334,1.979,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-27e29c_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,hsPsych,hsPsych,55.937,55.605,1.538,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-27e29c_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,hsPsych,hsPsych,57.018,57.207,1.466,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-27e29c_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,hsWorldHist,hsWorldHist,55.765,55.615,0.966,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-16cdac_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,hsWorldHist,hsWorldHist,57.553,57.613,1.318,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-16cdac_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,hsWorldHist,hsWorldHist,58.243,58.269,1.179,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-16cdac_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,hsWorldHist,hsWorldHist,56.897,56.704,0.926,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-16cdac_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,lcb,lcb,58.186,57.827,1.182,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,lcb,lcb,57.756,57.578,0.889,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,lcb,lcb,57.960,57.994,1.413,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,lcb,lcb,57.340,56.962,1.381,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,philosophy,philosophy,57.228,56.505,2.359,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-dc9a78_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,philosophy,philosophy,56.182,56.067,1.731,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-dc9a78_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,philosophy,philosophy,56.331,55.900,1.266,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-dc9a78_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,philosophy,philosophy,56.749,56.428,1.853,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-dc9a78_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,proLaw,proLaw,59.750,59.489,1.056,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-0712af_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,proLaw,proLaw,59.294,59.174,0.701,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-0712af_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,proLaw,proLaw,59.369,59.323,0.948,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-0712af_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,2 placement only (pr0),2,ablation_l01_pr0_pv2_r2_pv3c_eps025,proLaw,proLaw,59.224,59.118,0.853,16,16,d3bb40c7/a0c60c75,ablation_l01_pr0_pv2_r2_pv3c_eps025_trace-0712af_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,clinical,clinical,51.773,52.220,1.661,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-356bcd_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,clinical,clinical,50.681,51.564,2.743,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-356bcd_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,clinical,clinical,50.635,50.192,2.044,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-356bcd_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,clinical,clinical,50.968,51.494,1.434,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-356bcd_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,colmath,colmath,51.464,51.594,1.433,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-c16ab5_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,colmath,colmath,50.434,50.065,1.379,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-c16ab5_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,colmath,colmath,49.802,49.782,1.457,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-c16ab5_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,colmath,colmath,50.186,50.151,1.790,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-c16ab5_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,elecEng,elecEng,51.197,50.915,2.259,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-931acd_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,elecEng,elecEng,50.664,50.451,1.471,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-931acd_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,elecEng,elecEng,50.577,50.507,1.508,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-931acd_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,elecEng,elecEng,50.956,51.155,1.938,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-931acd_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,hsPsych,hsPsych,51.803,51.898,1.494,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-27e29c_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,hsPsych,hsPsych,52.004,51.657,1.889,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-27e29c_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,hsPsych,hsPsych,50.721,51.079,1.203,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-27e29c_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,hsPsych,hsPsych,52.596,52.851,1.438,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-27e29c_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,hsWorldHist,hsWorldHist,50.327,50.384,0.843,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-16cdac_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,hsWorldHist,hsWorldHist,51.013,50.516,1.459,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-16cdac_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,hsWorldHist,hsWorldHist,49.645,49.594,1.646,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-16cdac_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,hsWorldHist,hsWorldHist,50.528,50.769,1.092,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-16cdac_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,lcb,lcb,51.598,51.866,0.977,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,lcb,lcb,51.912,51.724,1.457,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,lcb,lcb,51.497,51.364,1.079,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,lcb,lcb,55.121,51.640,14.823,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-245f17_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,philosophy,philosophy,50.614,50.677,1.726,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-dc9a78_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,philosophy,philosophy,50.683,50.578,2.201,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-dc9a78_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,philosophy,philosophy,49.786,49.580,1.508,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-dc9a78_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,philosophy,philosophy,49.818,49.720,0.956,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-dc9a78_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,proLaw,proLaw,52.037,52.035,0.892,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-0712af_b64_k8_isolated
20260915-223848_perlmutter_722a718c,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,proLaw,proLaw,52.223,52.230,0.631,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-0712af_b64_k8_isolated
20260915-223901_perlmutter_2b4c97c0,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,proLaw,proLaw,52.764,52.459,1.259,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-0712af_b64_k8_isolated
20260915-231639_perlmutter_e7f0c6ef,S-A seen-8,reset-proxy (per-topic cell),0,1+2 static,3,ours_l01_s1_pv2_r2_pv3c_eps025,proLaw,proLaw,53.009,53.001,0.877,16,16,d3bb40c7/a0c60c75,ours_l01_s1_pv2_r2_pv3c_eps025_trace-0712af_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),1,1+2 full-orbit swap SEQ d1,4,ablation_l01_s2_swapall_noov_p2p_r2_pv3c_eps025,clinical,clinical,58.374,58.724,1.951,16,16,d3bb40c7/a0c60c75,ablation_l01_s2_swapall_noov_p2p_r2_pv3c_eps025_trace-356bcd_b64_k8_isolated
20260915-081501_perlmutter_4fa85d76,S-A seen-8,reset-proxy (per-topic cell),1,1+2 full-orbit swap SEQ d1,4,ablation_l01_s2_swapall_noov_p2p_r2_pv3c_eps025,colmath,colmath,56.843,55.899,3.691,16,16,d3bb40c7/a0c60c75,ablation_l01_s2_swapall_noov_p2p_r2_pv3c_eps025_trace-c16ab5_b64_k8_isolated
