run_id,cell_id,status,platform,variant,comm_pattern,mode,matrix_id,matrix_path,matrix_sha256,family,family_params,budget_mib,topk,G,H,chunk_bytes,dtype,world_size,nnodes,ranks_per_node,fabric,ntokens,tokens_per_rank,iters,warmup_iters,sm_margin,deterministic,env_json,git_sha,git_dirty,wire_ratio,relay_ident_bytes,relay_balanced_bytes,correct_bitwise,correct_allclose,exit_code,start_ts,end_ts,log_dir,nsys_path,prof_path,notes
20260805-095648_perlmutter_36a27e78,hier_compress_union_remotefrac_b2_k8_isolated,ok,perlmutter,hier_compress_union,a2av_hier_compress,isolated,w16x4_remotefrac_b2_k8_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w16x4_remotefrac_b2_k8_id001.txt,78c1ee56a3d739496484d736223f2f39d3db307664c1ab9b2cfb3eeb5a26a0a3,remotefrac,{},2,8,128,4096,8192,bfloat16,16,4,4,cxi,4096,256,10,5,8,0,"{""CUDA_DEVICE_MAX_CONNECTIONS"": ""8"", ""FLUX_A2AV_MAX_RECV_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""163840"", ""FLUX_A2AV_UNION_BCAST"": ""1"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_remotefrac_b2_k8_isolated/torchrun"", ""FLUX_SWEEP_ISOLATED_ITERS"": ""1"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_remotefrac_b2_k8_isolated/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""6G""}",ebb9d5cc4f45492e475c045ec7c8b318499c9c33,1,0.499969482421875,13434880,8421376,0,1,0,2026-08-05T09:56:48Z,2026-08-05T09:57:04Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_remotefrac_b2_k8_isolated,,,fused stage-2 A/B (FLUX_A2AV_FUSED_STAGE2): isolated latency verdict
20260805-095648_perlmutter_36a27e78,hier_compress_union_fused_remotefrac_b2_k8_isolated,ok,perlmutter,hier_compress_union_fused,a2av_hier_compress,isolated,w16x4_remotefrac_b2_k8_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w16x4_remotefrac_b2_k8_id001.txt,78c1ee56a3d739496484d736223f2f39d3db307664c1ab9b2cfb3eeb5a26a0a3,remotefrac,{},2,8,128,4096,8192,bfloat16,16,4,4,cxi,4096,256,10,5,8,0,"{""CUDA_DEVICE_MAX_CONNECTIONS"": ""8"", ""FLUX_A2AV_FUSED_STAGE2"": ""1"", ""FLUX_A2AV_MAX_RECV_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""163840"", ""FLUX_A2AV_UNION_BCAST"": ""1"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_fused_remotefrac_b2_k8_isolated/torchrun"", ""FLUX_SWEEP_ISOLATED_ITERS"": ""1"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_fused_remotefrac_b2_k8_isolated/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""6G""}",ebb9d5cc4f45492e475c045ec7c8b318499c9c33,1,0.499969482421875,13434880,8421376,0,1,0,2026-08-05T09:57:04Z,2026-08-05T09:57:23Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_fused_remotefrac_b2_k8_isolated,,,fused stage-2 A/B (FLUX_A2AV_FUSED_STAGE2): isolated latency verdict
20260805-095648_perlmutter_36a27e78,hier_compress_lb_union_remotefrac_b2_k8_isolated,ok,perlmutter,hier_compress_lb_union,a2av_hier_compress,isolated,w16x4_remotefrac_b2_k8_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w16x4_remotefrac_b2_k8_id001.txt,78c1ee56a3d739496484d736223f2f39d3db307664c1ab9b2cfb3eeb5a26a0a3,remotefrac,{},2,8,128,4096,8192,bfloat16,16,4,4,cxi,4096,256,10,5,8,0,"{""CUDA_DEVICE_MAX_CONNECTIONS"": ""8"", ""FLUX_A2AV_LB_UNION"": ""1"", ""FLUX_A2AV_MAX_RECV_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""163840"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_lb_union_remotefrac_b2_k8_isolated/torchrun"", ""FLUX_SWEEP_ISOLATED_ITERS"": ""1"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_lb_union_remotefrac_b2_k8_isolated/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""6G""}",ebb9d5cc4f45492e475c045ec7c8b318499c9c33,1,0.499969482421875,13434880,8421376,0,1,0,2026-08-05T09:57:23Z,2026-08-05T09:57:41Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_lb_union_remotefrac_b2_k8_isolated,,,fused stage-2 A/B (FLUX_A2AV_FUSED_STAGE2): isolated latency verdict
20260805-095648_perlmutter_36a27e78,hier_compress_lb_union_fused_remotefrac_b2_k8_isolated,ok,perlmutter,hier_compress_lb_union_fused,a2av_hier_compress,isolated,w16x4_remotefrac_b2_k8_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w16x4_remotefrac_b2_k8_id001.txt,78c1ee56a3d739496484d736223f2f39d3db307664c1ab9b2cfb3eeb5a26a0a3,remotefrac,{},2,8,128,4096,8192,bfloat16,16,4,4,cxi,4096,256,10,5,8,0,"{""CUDA_DEVICE_MAX_CONNECTIONS"": ""8"", ""FLUX_A2AV_FUSED_STAGE2"": ""1"", ""FLUX_A2AV_LB_UNION"": ""1"", ""FLUX_A2AV_MAX_RECV_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""163840"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_lb_union_fused_remotefrac_b2_k8_isolated/torchrun"", ""FLUX_SWEEP_ISOLATED_ITERS"": ""1"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_lb_union_fused_remotefrac_b2_k8_isolated/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""6G""}",ebb9d5cc4f45492e475c045ec7c8b318499c9c33,1,0.499969482421875,13434880,8421376,0,1,0,2026-08-05T09:57:41Z,2026-08-05T09:57:58Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_lb_union_fused_remotefrac_b2_k8_isolated,,,fused stage-2 A/B (FLUX_A2AV_FUSED_STAGE2): isolated latency verdict
20260805-095648_perlmutter_36a27e78,hier_compress_union_remotefrac_b8_k8_isolated,ok,perlmutter,hier_compress_union,a2av_hier_compress,isolated,w16x4_remotefrac_b8_k8_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w16x4_remotefrac_b8_k8_id001.txt,dce1d60e7676a4583ab14bf8708396bfc21ab108367e92fb8b58ce13e0034460,remotefrac,{},8,8,128,4096,8192,bfloat16,16,4,4,cxi,16384,1024,10,5,8,0,"{""CUDA_DEVICE_MAX_CONNECTIONS"": ""8"", ""FLUX_A2AV_MAX_RECV_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""163840"", ""FLUX_A2AV_UNION_BCAST"": ""1"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_remotefrac_b8_k8_isolated/torchrun"", ""FLUX_SWEEP_ISOLATED_ITERS"": ""1"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_remotefrac_b8_k8_isolated/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""6G""}",ebb9d5cc4f45492e475c045ec7c8b318499c9c33,1,0.4999847412109375,53739520,33587200,0,1,0,2026-08-05T09:57:58Z,2026-08-05T09:58:15Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_remotefrac_b8_k8_isolated,,,fused stage-2 A/B (FLUX_A2AV_FUSED_STAGE2): isolated latency verdict
20260805-095648_perlmutter_36a27e78,hier_compress_union_fused_remotefrac_b8_k8_isolated,ok,perlmutter,hier_compress_union_fused,a2av_hier_compress,isolated,w16x4_remotefrac_b8_k8_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w16x4_remotefrac_b8_k8_id001.txt,dce1d60e7676a4583ab14bf8708396bfc21ab108367e92fb8b58ce13e0034460,remotefrac,{},8,8,128,4096,8192,bfloat16,16,4,4,cxi,16384,1024,10,5,8,0,"{""CUDA_DEVICE_MAX_CONNECTIONS"": ""8"", ""FLUX_A2AV_FUSED_STAGE2"": ""1"", ""FLUX_A2AV_MAX_RECV_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""163840"", ""FLUX_A2AV_UNION_BCAST"": ""1"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_fused_remotefrac_b8_k8_isolated/torchrun"", ""FLUX_SWEEP_ISOLATED_ITERS"": ""1"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_fused_remotefrac_b8_k8_isolated/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""6G""}",ebb9d5cc4f45492e475c045ec7c8b318499c9c33,1,0.4999847412109375,53739520,33587200,0,1,0,2026-08-05T09:58:15Z,2026-08-05T09:58:35Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_fused_remotefrac_b8_k8_isolated,,,fused stage-2 A/B (FLUX_A2AV_FUSED_STAGE2): isolated latency verdict
20260805-095648_perlmutter_36a27e78,hier_compress_lb_union_remotefrac_b8_k8_isolated,ok,perlmutter,hier_compress_lb_union,a2av_hier_compress,isolated,w16x4_remotefrac_b8_k8_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w16x4_remotefrac_b8_k8_id001.txt,dce1d60e7676a4583ab14bf8708396bfc21ab108367e92fb8b58ce13e0034460,remotefrac,{},8,8,128,4096,8192,bfloat16,16,4,4,cxi,16384,1024,10,5,8,0,"{""CUDA_DEVICE_MAX_CONNECTIONS"": ""8"", ""FLUX_A2AV_LB_UNION"": ""1"", ""FLUX_A2AV_MAX_RECV_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""163840"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_lb_union_remotefrac_b8_k8_isolated/torchrun"", ""FLUX_SWEEP_ISOLATED_ITERS"": ""1"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_lb_union_remotefrac_b8_k8_isolated/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""6G""}",ebb9d5cc4f45492e475c045ec7c8b318499c9c33,1,0.4999847412109375,53739520,33587200,0,1,0,2026-08-05T09:58:35Z,2026-08-05T09:58:52Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_lb_union_remotefrac_b8_k8_isolated,,,fused stage-2 A/B (FLUX_A2AV_FUSED_STAGE2): isolated latency verdict
20260805-095648_perlmutter_36a27e78,hier_compress_lb_union_fused_remotefrac_b8_k8_isolated,ok,perlmutter,hier_compress_lb_union_fused,a2av_hier_compress,isolated,w16x4_remotefrac_b8_k8_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w16x4_remotefrac_b8_k8_id001.txt,dce1d60e7676a4583ab14bf8708396bfc21ab108367e92fb8b58ce13e0034460,remotefrac,{},8,8,128,4096,8192,bfloat16,16,4,4,cxi,16384,1024,10,5,8,0,"{""CUDA_DEVICE_MAX_CONNECTIONS"": ""8"", ""FLUX_A2AV_FUSED_STAGE2"": ""1"", ""FLUX_A2AV_LB_UNION"": ""1"", ""FLUX_A2AV_MAX_RECV_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""163840"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_lb_union_fused_remotefrac_b8_k8_isolated/torchrun"", ""FLUX_SWEEP_ISOLATED_ITERS"": ""1"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_lb_union_fused_remotefrac_b8_k8_isolated/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""6G""}",ebb9d5cc4f45492e475c045ec7c8b318499c9c33,1,0.4999847412109375,53739520,33587200,0,1,0,2026-08-05T09:58:52Z,2026-08-05T09:59:09Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_lb_union_fused_remotefrac_b8_k8_isolated,,,fused stage-2 A/B (FLUX_A2AV_FUSED_STAGE2): isolated latency verdict
20260805-095648_perlmutter_36a27e78,hier_compress_union_remotefrac_b32_k8_isolated,ok,perlmutter,hier_compress_union,a2av_hier_compress,isolated,w16x4_remotefrac_b32_k8_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w16x4_remotefrac_b32_k8_id001.txt,7e672a533d212bad10e2a184bb05994a57d78d0d9cbbd2a299bed42dd8244cc0,remotefrac,{},32,8,128,4096,8192,bfloat16,16,4,4,cxi,65536,4096,10,5,8,0,"{""CUDA_DEVICE_MAX_CONNECTIONS"": ""8"", ""FLUX_A2AV_MAX_RECV_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""163840"", ""FLUX_A2AV_UNION_BCAST"": ""1"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_remotefrac_b32_k8_isolated/torchrun"", ""FLUX_SWEEP_ISOLATED_ITERS"": ""1"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_remotefrac_b32_k8_isolated/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""6G""}",ebb9d5cc4f45492e475c045ec7c8b318499c9c33,1,0.4999980926513672,214761472,134250496,0,1,0,2026-08-05T09:59:09Z,2026-08-05T09:59:28Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_remotefrac_b32_k8_isolated,,,fused stage-2 A/B (FLUX_A2AV_FUSED_STAGE2): isolated latency verdict
20260805-095648_perlmutter_36a27e78,hier_compress_union_fused_remotefrac_b32_k8_isolated,ok,perlmutter,hier_compress_union_fused,a2av_hier_compress,isolated,w16x4_remotefrac_b32_k8_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w16x4_remotefrac_b32_k8_id001.txt,7e672a533d212bad10e2a184bb05994a57d78d0d9cbbd2a299bed42dd8244cc0,remotefrac,{},32,8,128,4096,8192,bfloat16,16,4,4,cxi,65536,4096,10,5,8,0,"{""CUDA_DEVICE_MAX_CONNECTIONS"": ""8"", ""FLUX_A2AV_FUSED_STAGE2"": ""1"", ""FLUX_A2AV_MAX_RECV_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_RELAY_NTOKENS"": ""163840"", ""FLUX_A2AV_MAX_STAGE_NTOKENS"": ""163840"", ""FLUX_A2AV_UNION_BCAST"": ""1"", ""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_fused_remotefrac_b32_k8_isolated/torchrun"", ""FLUX_SWEEP_ISOLATED_ITERS"": ""1"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_fused_remotefrac_b32_k8_isolated/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""6G""}",ebb9d5cc4f45492e475c045ec7c8b318499c9c33,1,0.4999980926513672,214761472,134250496,0,1,0,2026-08-05T09:59:28Z,2026-08-05T09:59:47Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-095648_perlmutter_36a27e78/cells/hier_compress_union_fused_remotefrac_b32_k8_isolated,,,fused stage-2 A/B (FLUX_A2AV_FUSED_STAGE2): isolated latency verdict
