run_id,cell_id,status,platform,variant,comm_pattern,mode,matrix_id,matrix_path,matrix_sha256,family,family_params,budget_mib,topk,G,H,chunk_bytes,dtype,world_size,nnodes,ranks_per_node,fabric,ntokens,tokens_per_rank,iters,warmup_iters,sm_margin,deterministic,env_json,git_sha,git_dirty,wire_ratio,relay_ident_bytes,relay_balanced_bytes,correct_bitwise,correct_allclose,exit_code,start_ts,end_ts,log_dir,nsys_path,prof_path,notes
20260805-141821_perlmutter_932a88e2,fast_uniform_b2_k4_e2e,failed,perlmutter,fast,fast_bvn_a2av,e2e,w64x4_uniform_b2_k4_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w64x4_uniform_b2_k4_id001.txt,987071dc724d872bc277cb39902b093d5ff2c39fc446d182f9bb5a6f9693287f,uniform,{},2,4,128,4096,8192,bfloat16,64,16,4,cxi,,,10,5,8,,"{""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_uniform_b2_k4_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_uniform_b2_k4_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""4G""}",a25eda6e5f5988aef898ac05eadc989d96273b17,1,,,,,,143,2026-08-05T14:20:51Z,2026-08-05T14:21:07Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_uniform_b2_k4_e2e,,,"l0algos v1 16n64r fast baseline e2e; G=128; topk via --topk override; failed, retry 1: failed"
20260805-141821_perlmutter_932a88e2,fast_uniform_b8_k4_e2e,failed,perlmutter,fast,fast_bvn_a2av,e2e,w64x4_uniform_b8_k4_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w64x4_uniform_b8_k4_id001.txt,512be9e82a8a116cf90a2db327b51cd3cd9398c0a4df12da99ae5a5820e86551,uniform,{},8,4,128,4096,8192,bfloat16,64,16,4,cxi,,,10,5,8,,"{""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_uniform_b8_k4_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_uniform_b8_k4_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""4G""}",a25eda6e5f5988aef898ac05eadc989d96273b17,1,,,,,,1,2026-08-05T14:21:07Z,2026-08-05T14:21:24Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_uniform_b8_k4_e2e,,,"l0algos v1 16n64r fast baseline e2e; G=128; topk via --topk override; failed, retry 1: failed"
20260805-141821_perlmutter_932a88e2,fast_uniform_b32_k4_e2e,failed,perlmutter,fast,fast_bvn_a2av,e2e,w64x4_uniform_b32_k4_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w64x4_uniform_b32_k4_id001.txt,e7e38aec94c2af8b40d39196372047d6b87ef9607613d3f4f66e7fb66700493b,uniform,{},32,4,128,4096,8192,bfloat16,64,16,4,cxi,,,10,5,8,,"{""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_uniform_b32_k4_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_uniform_b32_k4_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""4G""}",a25eda6e5f5988aef898ac05eadc989d96273b17,1,,,,,,1,2026-08-05T14:21:24Z,2026-08-05T14:21:44Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_uniform_b32_k4_e2e,,,"l0algos v1 16n64r fast baseline e2e; G=128; topk via --topk override; failed, retry 1: failed"
20260805-141821_perlmutter_932a88e2,fast_remotefrac-2ac591_b2_k4_e2e,failed,perlmutter,fast,fast_bvn_a2av,e2e,w64x4_remotefrac-a11ecc_b2_k4_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w64x4_remotefrac-a11ecc_b2_k4_id001.txt,237392617a9609fd9a35f0c821e13c9fd82a02f9b465230d1dae1f28ba09fbea,remotefrac,"{""fracs"": [0.01, 0.05, 0.3, 0.99]}",2,4,128,4096,8192,bfloat16,64,16,4,cxi,,,10,5,8,,"{""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_remotefrac-2ac591_b2_k4_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_remotefrac-2ac591_b2_k4_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""4G""}",a25eda6e5f5988aef898ac05eadc989d96273b17,1,,,,,,143,2026-08-05T14:21:44Z,2026-08-05T14:22:00Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_remotefrac-2ac591_b2_k4_e2e,,,"l0algos v1 16n64r fast baseline e2e; G=128; topk via --topk override; failed, retry 1: failed"
20260805-141821_perlmutter_932a88e2,fast_remotefrac-2ac591_b8_k4_e2e,failed,perlmutter,fast,fast_bvn_a2av,e2e,w64x4_remotefrac-91f4c6_b8_k4_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w64x4_remotefrac-91f4c6_b8_k4_id001.txt,ff409189a34158beb076ed9465ba5d2e6acb63fb1bb789dfff45fd68d5d1a95c,remotefrac,"{""fracs"": [0.01, 0.05, 0.3, 0.99]}",8,4,128,4096,8192,bfloat16,64,16,4,cxi,,,10,5,8,,"{""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_remotefrac-2ac591_b8_k4_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_remotefrac-2ac591_b8_k4_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""4G""}",a25eda6e5f5988aef898ac05eadc989d96273b17,1,,,,,,143,2026-08-05T14:22:00Z,2026-08-05T14:22:16Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_remotefrac-2ac591_b8_k4_e2e,,,"l0algos v1 16n64r fast baseline e2e; G=128; topk via --topk override; failed, retry 1: failed"
20260805-141821_perlmutter_932a88e2,fast_remotefrac-2ac591_b32_k4_e2e,failed,perlmutter,fast,fast_bvn_a2av,e2e,w64x4_remotefrac-c3776d_b32_k4_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w64x4_remotefrac-c3776d_b32_k4_id001.txt,72d88e3ad30ca82636d47e7b72e6debbd7d1f66f221fb417ebd413d6ae0332cb,remotefrac,"{""fracs"": [0.01, 0.05, 0.3, 0.99]}",32,4,128,4096,8192,bfloat16,64,16,4,cxi,,,10,5,8,,"{""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_remotefrac-2ac591_b32_k4_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_remotefrac-2ac591_b32_k4_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""4G""}",a25eda6e5f5988aef898ac05eadc989d96273b17,1,,,,,,143,2026-08-05T14:22:16Z,2026-08-05T14:22:32Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_remotefrac-2ac591_b32_k4_e2e,,,"l0algos v1 16n64r fast baseline e2e; G=128; topk via --topk override; failed, retry 1: failed"
20260805-141821_perlmutter_932a88e2,fast_fanoutskew-f73c0e_b2_k4_e2e,failed,perlmutter,fast,fast_bvn_a2av,e2e,w64x4_fanoutskew-56513e_b2_k4_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w64x4_fanoutskew-56513e_b2_k4_id001.txt,f0a8f055211243fd44d14ddd14d2ec4605f6af07b50f3559f4719fad55b9d887,fanoutskew,"{""nodefracs"": [0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1]}",2,4,128,4096,8192,bfloat16,64,16,4,cxi,,,10,5,8,,"{""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_fanoutskew-f73c0e_b2_k4_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_fanoutskew-f73c0e_b2_k4_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""4G""}",a25eda6e5f5988aef898ac05eadc989d96273b17,1,,,,,,1,2026-08-05T14:22:32Z,2026-08-05T14:22:52Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_fanoutskew-f73c0e_b2_k4_e2e,,,"l0algos v1 16n64r fast baseline e2e; G=128; topk via --topk override; failed, retry 1: failed"
20260805-141821_perlmutter_932a88e2,fast_fanoutskew-f73c0e_b8_k4_e2e,failed,perlmutter,fast,fast_bvn_a2av,e2e,w64x4_fanoutskew-15b134_b8_k4_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w64x4_fanoutskew-15b134_b8_k4_id001.txt,f861f606e33b00a891b03055b28e65cbacce8d9f50c92551a8f3109ae35350d3,fanoutskew,"{""nodefracs"": [0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1]}",8,4,128,4096,8192,bfloat16,64,16,4,cxi,,,10,5,8,,"{""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_fanoutskew-f73c0e_b8_k4_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_fanoutskew-f73c0e_b8_k4_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""4G""}",a25eda6e5f5988aef898ac05eadc989d96273b17,1,,,,,,143,2026-08-05T14:22:52Z,2026-08-05T14:23:08Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_fanoutskew-f73c0e_b8_k4_e2e,,,"l0algos v1 16n64r fast baseline e2e; G=128; topk via --topk override; failed, retry 1: failed"
20260805-141821_perlmutter_932a88e2,fast_fanoutskew-f73c0e_b32_k4_e2e,failed,perlmutter,fast,fast_bvn_a2av,e2e,w64x4_fanoutskew-dba1df_b32_k4_id001,/pscratch/sd/y/yufeid/workspace/andrewy/a2av_test_matrices/generated/w64x4_fanoutskew-dba1df_b32_k4_id001.txt,9dd75a7d57cb0ef556166e85ccf93724bc99c2bbbf40cb1f7850046644b1489b,fanoutskew,"{""nodefracs"": [0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1, 0.9, 0.1]}",32,4,128,4096,8192,bfloat16,64,16,4,cxi,,,10,5,8,,"{""FLUX_EXTRA_TORCHRUN_ARGS"": ""--redirects 3 --log-dir /pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_fanoutskew-f73c0e_b32_k4_e2e/torchrun"", ""FLUX_SWEEP_RECORD_DIR"": ""/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_fanoutskew-f73c0e_b32_k4_e2e/records"", ""FLUX_TEST_DETERMINISTIC"": ""0"", ""NVSHMEM_SYMMETRIC_SIZE"": ""4G""}",a25eda6e5f5988aef898ac05eadc989d96273b17,1,,,,,,1,2026-08-05T14:23:08Z,2026-08-05T14:23:24Z,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260805-141821_perlmutter_932a88e2/cells/fast_fanoutskew-f73c0e_b32_k4_e2e,,,"l0algos v1 16n64r fast baseline e2e; G=128; topk via --topk override; failed, retry 1: failed"
