nodes,system,budget_mib,C,total_ms,loccap_twin_ms,d_vs_twin_pct,twin_src,figure_ms,d_vs_figure_pct,arm_variant,capsule,cell_id,stat,kernel
4,ours,64,1/2,46.141,46.935,-1.7,,46.247,-0.2,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-054844_perlmutter_3394711e,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b64_k8_isolated,iter_max_median,campaign
4,ours,64,1/4,47.857,46.935,2.0,,46.247,3.5,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-054844_perlmutter_3394711e,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b64_k8_isolated,iter_max_median,campaign
8,dwire,1,1/2,6.19,6.261,-1.1,,6.13,1.0,ours_l01_s1_pv2_r2_dwire_pv3c_eps05,20260915-085521_perlmutter_03c90d2e,ours_l01_s1_pv2_r2_dwire_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,dwire,1,1/4,6.075,6.261,-3.0,,6.13,-0.9,ours_l01_s1_pv2_r2_dwire_pv3c_eps025,20260915-085521_perlmutter_03c90d2e,ours_l01_s1_pv2_r2_dwire_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,ours,1,1/2,5.985,6.019,-0.6,,5.684,5.3,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,ours,1,1/2,6.003,5.997,0.1,,5.684,5.6,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-085521_perlmutter_03c90d2e,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,ours,1,1/4,5.954,6.019,-1.1,,5.684,4.8,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-084021_perlmutter_af0e914c,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,ours,1,1/4,5.838,5.997,-2.7,,5.684,2.7,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-085521_perlmutter_03c90d2e,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b1_k8_isolated,iter_max_median,campaign
8,ours,64,1/2,61.778,63.871,-3.3,,62.456,-1.1,ours_l01_s1_pv2_r2_pv3c_eps05,20260915-085807_perlmutter_6680828a,ours_l01_s1_pv2_r2_pv3c_eps05_trace-610042_b64_k8_isolated,iter_max_median,campaign
8,ours,64,1/4,64.372,63.871,0.8,,62.456,3.1,ours_l01_s1_pv2_r2_pv3c_eps025,20260915-085807_perlmutter_6680828a,ours_l01_s1_pv2_r2_pv3c_eps025_trace-610042_b64_k8_isolated,iter_max_median,campaign
16,dwire,1,1/2,7.03,6.78,3.7,,7.2,-2.4,ours_l01_s1_pv2_r2_dwire_pv3c_eps05,20260915-092116_perlmutter_8a8230ae,ours_l01_s1_pv2_r2_dwire_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
16,dwire,1,1/2,7.169,6.813,5.2,,7.2,-0.4,ours_l01_s1_pv2_r2_dwire_pv3c_eps05,20260915-100611_perlmutter_c01dc92f,ours_l01_s1_pv2_r2_dwire_pv3c_eps05_trace-610042_b1_k8_isolated,iter_max_median,campaign
