baseline,variant,model,nodes,budget_mib,status,capsule,cell_id,e2e_ms,l0_ms,act_ms,l1_ms,plan_ms,plan_comm_ms,total_ms,e2e_min,e2e_max,fail_reason
COMET,l01_allgather_dense,K2,2,1,ok,20260901-101958_perlmutter_03919f49,l01_allgather_dense_trace-610042_b1_k8_isolated,3.469,1.733,0.009,1.727,0.25,0.142,3.873,3.395,3.548,
COMET,l01_allgather_dense,K2,2,2,ok,20260901-101958_perlmutter_03919f49,l01_allgather_dense_trace-610042_b2_k8_isolated,3.85,1.877,0.012,1.961,0.249,0.119,4.229,3.82,3.885,
COMET,l01_allgather_dense,K2,2,4,ok,20260901-101958_perlmutter_03919f49,l01_allgather_dense_trace-610042_b4_k8_isolated,4.714,2.267,0.018,2.428,0.254,0.127,5.106,4.649,4.78,
COMET,l01_allgather_dense,K2,2,8,ok,20260901-101958_perlmutter_03919f49,l01_allgather_dense_trace-610042_b8_k8_isolated,6.31,3.043,0.031,3.236,0.268,0.149,6.739,6.146,6.502,
COMET,l01_allgather_dense,K2,2,16,ok,20260901-101958_perlmutter_03919f49,l01_allgather_dense_trace-610042_b16_k8_isolated,10.321,4.864,0.059,5.398,0.291,0.144,10.768,10.155,10.573,
COMET,l01_allgather_dense,K2,2,64,ok,20260901-101958_perlmutter_03919f49,l01_allgather_dense_trace-610042_b64_k8_isolated,35.78,17.5,0.231,18.048,0.45,0.262,36.503,34.512,36.478,
COMET,l01_allgather_dense,K2,32,1,failed,20260901-075429_perlmutter_04875008,l01_allgather_dense_trace-610042_b1_k8_isolated,,,,,,,,,,"CUDA illegal memory access in COMET dense-gather (failed) / wedge (stuck,timeout)"
COMET,l01_allgather_dense,K2,32,1,ok,20260902-235755_perlmutter_81951099,l01_allgather_dense_trace-610042_b1_k8_isolated,42.061,15.605,0.008,26.448,0.287,0.891,43.251,41.593,42.429,
COMET,l01_allgather_dense,K2,32,2,failed,20260901-075429_perlmutter_04875008,l01_allgather_dense_trace-610042_b2_k8_isolated,,,,,,,,,,"CUDA illegal memory access in COMET dense-gather (failed) / wedge (stuck,timeout)"
COMET,l01_allgather_dense,K2,32,2,ok,20260902-235755_perlmutter_81951099,l01_allgather_dense_trace-610042_b2_k8_isolated,47.256,18.023,0.011,29.222,0.319,0.973,48.559,46.084,48.398,
COMET,l01_allgather_dense,K2,32,4,failed,20260901-075429_perlmutter_04875008,l01_allgather_dense_trace-610042_b4_k8_isolated,,,,,,,,,,"CUDA illegal memory access in COMET dense-gather (failed) / wedge (stuck,timeout)"
