baseline,rank,node,why,total_ms,inter_ms,intra_ms,wait_ms,gemm_ms,barrier_ms,placement_ms,placement_inter_GB,annotation
NVSHMEM a2av + GEMM,7,1,longest inter-node wire,38.63,33.8,0.88,0.02,2.55,34.75,,,16.1k rows · 194 MB
NVSHMEM a2av + GEMM,11,2,shortest inter-node wire,38.76,16.98,0.76,17.6,2.11,35.39,,,15.2k rows · 201 MB
NVSHMEM a2av + GEMM,12,3,longest expert GEMM,48.72,22.73,0.54,12.03,8.53,35.41,,,56.9k rows · 176 MB
NVSHMEM a2av + GEMM,15,3,shortest expert GEMM,37.82,21.63,1.12,12.63,1.59,35.44,,,9.4k rows · 175 MB
EPLB,0,0,longest inter-node wire,23.02,18.43,0.83,0.02,2.88,19.35,140.3,1.15,17.0k rows · 196 MB
EPLB,3,0,shortest inter-node wire,23.51,13.9,0.89,4.78,3.06,19.65,74.9,0.82,17.3k rows · 195 MB
EPLB,7,1,longest placement,23.61,14.76,0.9,4.07,2.99,19.79,160.0,1.31,18.2k rows · 194 MB
EPLB,13,3,shortest placement,24.22,17.71,0.94,1.38,3.21,20.12,73.6,0.88,19.8k rows · 189 MB
COMET,4,1,longest inter-node wire,17.5,6.51,4.39,0.76,7.17,,,,28.3k rows · 96 MB
COMET,8,2,shortest inter-node wire,17.6,4.94,4.39,1.98,4.21,,,,17.2k rows · 96 MB
COMET,12,3,longest expert GEMM,17.41,5.48,4.39,1.07,11.12,,,,56.9k rows · 96 MB
COMET,15,3,shortest expert GEMM,17.49,5.72,4.46,0.81,2.74,,,,9.4k rows · 96 MB
