baseline,rank,node,why,total_ms,inter_ms,intra_ms,wait_ms,gemm_ms,barrier_ms,placement_ms,placement_inter_GB,annotation
NVSHMEM a2av + GEMM,7,1,longest inter-node wire,20.12,17.46,0.49,0.02,1.44,18.02,,,8.0k rows · 96 MB
NVSHMEM a2av + GEMM,12,3,longest expert GEMM,24.33,10.87,0.28,7.07,3.65,18.3,,,28.5k rows · 87 MB
NVSHMEM a2av + GEMM,14,3,shortest inter-node wire,19.88,7.83,0.84,9.45,1.12,18.18,,,6.8k rows · 87 MB
NVSHMEM a2av + GEMM,15,3,shortest expert GEMM,19.69,8.61,0.62,9.09,0.93,18.37,,,4.6k rows · 87 MB
EPLB,3,0,shortest placement,15.72,7.56,0.41,5.15,2.05,13.19,74.0,0.82,8.5k rows · 98 MB
EPLB,7,1,longest placement,15.61,7.26,0.44,5.29,2.07,13.04,137.4,1.31,9.1k rows · 98 MB
EPLB,8,2,longest layer-0 total,16.02,9.57,0.51,3.08,2.24,13.23,130.3,0.93,10.2k rows · 94 MB
EPLB,12,3,longest inter-node wire,16.01,12.13,0.53,0.45,2.28,13.18,134.5,1.48,10.5k rows · 95 MB
COMET,1,0,shortest inter-node wire,9.31,2.3,2.21,0.97,2.64,,,,10.1k rows · 48 MB
COMET,12,3,longest expert GEMM,9.2,3.24,2.22,0.71,5.43,,,,28.5k rows · 48 MB
COMET,14,3,longest inter-node wire,9.27,3.58,2.21,0.36,1.78,,,,6.8k rows · 48 MB
COMET,15,3,shortest expert GEMM,9.29,2.74,2.21,1.15,1.45,,,,4.6k rows · 48 MB
