mode,variant,base,C,status,family,total_ms,capsule,cell_id,nsys_path
isolated,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2_pv3c_eps025,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,1/4,ok,plain lcb,49.426,20260915-072722_perlmutter_f5912438,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2_pv3c_eps025_trace-610042_b64_k8_isolated,
nsys,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2_pv3c_eps025,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,1/4,ok,plain lcb,50.79,20260915-072722_perlmutter_f5912438,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2_pv3c_eps025_trace-610042_b64_k8_nsys,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260915-072722_perlmutter_f5912438/cells/ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2_pv3c_eps025_trace-610042_b64_k8_nsys/nsys
isolated,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,loccap,stuck,plain lcb,,20260915-051044_perlmutter_287b5d8f,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2_trace-610042_b16_k8_isolated,
isolated,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,loccap,ok,plain lcb,49.505,20260915-051044_perlmutter_287b5d8f,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2_trace-610042_b64_k8_isolated,
isolated,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,loccap,ok,plain lcb,48.01,20260915-065146_perlmutter_16c4b8ae,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2_trace-610042_b64_k8_isolated,
isolated,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,loccap,ok,plain lcb,48.69,20260915-080408_perlmutter_13a386e4,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2_trace-610042_b64_k8_isolated,
isolated,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2_pv3,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,pv3 1/16,failed,plain lcb,,20260915-051044_perlmutter_287b5d8f,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2_pv3_trace-610042_b16_k8_isolated,
isolated,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2_pv3,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,pv3 1/16,ok,plain lcb,51.656,20260915-051044_perlmutter_287b5d8f,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2_pv3_trace-610042_b64_k8_isolated,
isolated,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2_pv3c_eps025,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2,1/4,ok,plain lcb,50.365,20260915-072722_perlmutter_f5912438,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2_pv3c_eps025_trace-610042_b64_k8_isolated,
nsys,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2_pv3c_eps025,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2,1/4,ok,plain lcb,50.143,20260915-072722_perlmutter_f5912438,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2_pv3c_eps025_trace-610042_b64_k8_nsys,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260915-072722_perlmutter_f5912438/cells/ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2_pv3c_eps025_trace-610042_b64_k8_nsys/nsys
isolated,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2,loccap,ok,plain lcb,50.076,20260915-080408_perlmutter_13a386e4,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2_trace-610042_b64_k8_isolated,
isolated,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2_pv3c_eps025,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2,1/4,ok,plain lcb,50.636,20260915-072722_perlmutter_f5912438,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2_pv3c_eps025_trace-610042_b64_k8_isolated,
nsys,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2_pv3c_eps025,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2,1/4,ok,plain lcb,51.449,20260915-072722_perlmutter_f5912438,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2_pv3c_eps025_trace-610042_b64_k8_nsys,/pscratch/sd/y/yufeid/workspace/andrewy/sweep_data/20260915-072722_perlmutter_f5912438/cells/ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2_pv3c_eps025_trace-610042_b64_k8_nsys/nsys
isolated,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2,loccap,ok,plain lcb,50.197,20260915-080408_perlmutter_13a386e4,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2_trace-610042_b64_k8_isolated,
