row,cell,family,iteration,rank,node,why,span_ms,gemm_ms,nic_ms,nvlink_ms,reduce_ms,wait_ms
"Efficient / COMET, overlapped",l01_allgather_dense_nogate_c8,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,0,0,longest expert GEMM,56.08,33.36,34.08,8.84,20.36,6.14
"Efficient / COMET, overlapped",l01_allgather_dense_nogate_c8,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,6,1,shortest expert GEMM,55.93,22.52,27.82,8.79,26.15,9.41
Efficient / swap in host gap,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,9,2,longest expert GEMM,46.31,26.55,20.26,20.23,28.13,3.46
Efficient / swap in host gap,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,1,0,shortest expert GEMM,46.3,24.15,20.38,14.63,26.11,2.7
Efficient / sequential swap,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,9,2,longest expert GEMM,48.29,27.25,20.75,19.84,28.69,5.69
Efficient / sequential swap,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,0,0,shortest expert GEMM,48.19,24.22,21.29,7.43,26.2,2.57
Efficient / 3D-scheduled swap,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,8,2,longest expert GEMM,48.82,27.13,21.96,7.08,27.97,2.61
Efficient / 3D-scheduled swap,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,3,0,shortest expert GEMM,48.83,23.84,19.8,8.0,25.79,5.61
Efficient / swap under l0 GEMM,ablation_l01_s2_swapall_rst_3d_late3_str4_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,8,2,longest expert GEMM,46.49,26.86,19.24,7.09,27.39,0.71
Efficient / swap under l0 GEMM,ablation_l01_s2_swapall_rst_3d_late3_str4_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,1,0,shortest expert GEMM,46.59,24.5,19.79,15.0,26.56,3.99
