row,cell,family,iteration,rank,node,why,span_ms,gemm_ms,nic_ms,nvlink_ms,reduce_ms,wait_ms
"Efficient / COMET, overlapped",l01_allgather_dense_nogate_c8,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,4,1,longest expert GEMM,52.45,32.92,28.91,8.81,28.99,5.71
"Efficient / COMET, overlapped",l01_allgather_dense_nogate_c8,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,15,3,shortest expert GEMM,52.52,22.46,30.38,8.82,26.59,8.44
Efficient / swap in host gap,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,9,2,longest expert GEMM,49.44,27.2,20.18,19.33,29.21,4.62
Efficient / swap in host gap,ablation_l01_s2_swapall_rst_3d_early_str4_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,3,0,shortest expert GEMM,49.43,24.28,19.61,8.15,26.06,5.06
Efficient / sequential swap,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,9,2,longest expert GEMM,48.14,26.89,18.71,19.5,29.05,5.0
Efficient / sequential swap,ablation_l01_s2_swapall_rst_3d_noov_str4_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,3,0,shortest expert GEMM,48.07,23.82,21.28,8.11,25.88,1.93
Efficient / 3D-scheduled swap,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,8,2,longest expert GEMM,48.07,27.09,20.52,7.13,27.2,1.17
Efficient / 3D-scheduled swap,ablation_l01_s2_swapall_rst_3d_dual3_str4_p2p_r2,"{""dslots"": ""64:32"", ""layer"": 5, ""model"": ""Kimi-K2"", ""pools"": ""livecodebench/execution"", ""sem"": ""homog""}",iter4,1,0,shortest expert GEMM,48.02,23.92,21.53,15.18,26.14,3.4
"Skewed / COMET, overlapped",l01_allgather_dense_nogate_c8,"{""dslots"": ""64:32"", ""dwell"": 4.0, ""layer"": 5, ""model"": ""Kimi-K2"", ""opool"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy"", ""pools"": ""livecodebench/execution"", ""sched"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy+mmlu/professional_law"", ""sem"": ""homog""}",iter33,3,0,longest expert GEMM,56.63,43.26,27.91,8.8,32.61,2.6
"Skewed / COMET, overlapped",l01_allgather_dense_nogate_c8,"{""dslots"": ""64:32"", ""dwell"": 4.0, ""layer"": 5, ""model"": ""Kimi-K2"", ""opool"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy"", ""pools"": ""livecodebench/execution"", ""sched"": ""livecodebench/execution+mmlu/clinical_knowledge+mmlu/college_mathematics+mmlu/electrical_engineering+mmlu/high_school_psychology+mmlu/high_school_world_history+mmlu/philosophy+mmlu/professional_law"", ""sem"": ""homog""}",iter33,7,1,shortest expert GEMM,56.65,21.13,27.83,8.78,18.52,18.68
